Leading	Gene names	Protein names	Total Peptides	Unique peptides	Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Mol. weight [kDa]	Sequence coverage [%]	Fold Change RNAi/CONTROL	p-value	LFQ intensity RNAi_1	imputed (0=no/1=yes)	LFQ intensity RNAi_2	imputed (0=no/1=yes)	LFQ intensity RNAi_3	imputed (0=no/1=yes)	LFQ intensity CONTROL_1	imputed (0=no/1=yes)	LFQ intensity CONTROL_2	imputed (0=no/1=yes)	LFQ intensity CONTROL_3	imputed (0=no/1=yes)	GlyGly (K) site positions
	MAT2A	S-adenosylmethionine synthase isoform type-2	8	8	P31153;Q00266	P31153	8;1	8;1	8;1	43.66	22	0.696527	2.25E-02	28.9313	0	28.4328	0	28.6305	0	27.8473	0	28.2224	0	27.8353	0	
	MCM2	DNA replication licensing factor MCM2	6	6	P49736	P49736	6	6	6	101.89	7	0.395323	4.62E-02	28.49	0	28.0627	0	28.1977	0	27.7613	0	27.9584	0	27.8447	0	
	SSRP1	FACT complex subunit SSRP1	5	5	Q08945	Q08945	5	5	5	81.074	8	0.473646	2.40E-02	28.5468	0	28.1353	0	28.2273	0	27.8931	0	27.7345	0	27.8609	0	
	USP25	Ubiquitin carboxyl-terminal hydrolase 25	9	9	Q9UHP3	Q9UHP3	9	9	9	122.22	9.5	0.514989	2.59E-02	28.2914	0	28.0361	0	28.5483	0	27.8048	0	27.7432	0	27.7829	0	
	ZNF451	Zinc finger protein 451	5	5	Q9Y4E5	Q9Y4E5	5	5	5	121.48	4.6	0.570507	2.94E-02	28.4552	0	28.3861	0	28.0412	0	27.9265	0	27.7153	0	27.5292	0	
	HPRT1	Hypoxanthine-guanine phosphoribosyltransferase	5	5	P00492;Q9NRG1	P00492	5;1	5;1	5;1	24.579	24.8	-0.412836	2.36E-02	27.8758	0	28.1524	0	28.1045	0	28.3002	0	28.5248	0	28.5462	0	
	RPL5	60S ribosomal protein L5	7	7	P46777	P46777	7	7	7	34.362	23.2	-0.627335	2.91E-02	27.7288	0	27.7598	0	27.6271	0	28.3954	0	28.6154	0	27.9869	0	
	EPN1	Epsin-1	3	3	Q9Y6I3;Q9H201	Q9Y6I3	3;1	3;1	3;1	60.293	7.8	-0.258002	3.65E-02	27.5266	0	27.5371	0	27.648	0	27.704	0	27.9596	0	27.822	0	
	TRIM24	Transcription intermediary factor 1-alpha	4	4	O15164	O15164	4	4	4	116.83	4.1	0.167847	2.50E-02	27.8099	0	27.8034	0	27.8517	0	27.5708	0	27.6627	0	27.7279	0	
	CBX3	Chromobox protein homolog 3	4	3	Q13185	Q13185	4	4	3	20.811	22.4	0.912359	3.05E-02	28.5635	0	28.0547	0	28.8416	0	27.3167	0	27.8553	0	27.5509	0	
	TCERG1	Transcription elongation regulator 1	9	9	O14776	O14776	9	9	9	123.9	6.6	0.798555	1.93E-02	28.0515	0	28.0394	0	28.2526	0	27.2353	0	27.0183	0	27.6943	0	
	UBE4B	Ubiquitin conjugation factor E4 B	6	6	O95155	O95155	6	6	6	146.18	6.2	-0.211522	1.39E-02	27.9122	0	27.9457	0	27.8322	0	28.062	0	28.183	0	28.0796	0	
	CLCC1	Chloride channel CLIC-like protein 1	3	3	Q96S66	Q96S66	3	3	3	62.022	10.3	-0.512786	1.47E-02	27.3194	0	27.5332	0	27.408	0	27.7839	0	28.1436	0	27.8715	0	
	RAB3GAP1	Rab3 GTPase-activating protein catalytic subunit	5	5	Q15042	Q15042	5	5	5	110.52	6.2	0.451515	4.23E-02	27.6196	0	27.6058	0	28.0376	0	27.411	0	27.2889	0	27.2084	0	
	TRPC4AP	Short transient receptor potential channel 4-associated protein	4	4	Q8TEL6	Q8TEL6	4	4	4	90.851	5.3	0.502299	4.81E-02	27.8075	0	28.0548	0	28.077	0	27.6691	0	27.5952	0	27.1681	0	
	SUPT16H	FACT complex subunit SPT16	6	6	Q9Y5B9	Q9Y5B9	6	6	6	119.91	6.9	0.76547	1.21E-02	27.5453	0	27.5689	0	27.985	0	26.7938	0	27.1331	0	26.876	0	
	TCEA1	Transcription elongation factor A protein 1	4	4	P23193	P23193	4	4	4	33.969	14	-0.469043	3.16E-02	27.2185	0	26.8701	0	26.7783	0	27.4618	0	27.4943	0	27.3179	0	
	DDX21	Nucleolar RNA helicase 2	6	6	Q9NR30	Q9NR30	6	6	6	87.343	7.5	0.721785	1.27E-02	27.6433	0	27.5158	0	27.5697	0	27.0652	0	26.9665	0	26.5317	0	
	U2SURP	U2 snRNP-associated SURP motif-containing protein	2	2	O15042	O15042	2	2	2	118.29	1.5	0.379836	2.51E-02	27.3804	0	27.0169	0	27.1417	0	26.8017	0	26.7609	0	26.8369	0	
	IPO8	Importin-8	3	3	O15397	O15397	3	3	3	119.94	3.5	-0.468836	2.71E-02	26.3361	0	26.458	0	26.6898	0	26.7976	0	27.1083	0	26.9845	0	
	CEP290	Centrosomal protein of 290 kDa	5	5	O15078	O15078	5	5	5	290.38	2.3	-0.216299	2.89E-02	26.7009	0	26.5749	0	26.6573	0	26.9522	0	26.7676	0	26.8623	0	
	EXOC2	Exocyst complex component 2	2	2	Q96KP1	Q96KP1	2	2	2	104.07	2.5	-0.829382	8.54E-03	25.5253	1	25.1099	1	24.9781	1	25.9463	1	26.118	0	26.0371	0	
	MORF4L1	Mortality factor 4-like protein 1	3	1	Q9UBU8	Q9UBU8	3	1	1	41.473	10.8	0.925998	2.66E-02	25.2981	1	25.2373	1	25.2168	0	24.4128	1	24.7407	1	23.8207	1	
	POLDIP3	Polymerase delta-interacting protein 3	1	1	Q9BY77	Q9BY77	1	1	1	46.089	3.3	0.936223	4.16E-02	25.9339	0	25.7786	1	25.0175	1	24.6906	1	24.8565	1	24.3742	1	
	MAPK14	Mitogen-activated protein kinase 14	1	1	Q16539	Q16539	1	1	1	41.293	2.5	0.514879	3.93E-02	24.5065	1	24.1905	1	24.6956	0	23.9483	1	24.0989	1	23.8007	1	
	ROCK2;ROCK1	Rho-associated protein kinase 2;Rho-associated protein kinase 1	2	2	O75116;Q13464	O75116;Q13464	2;1	2;1	2;1	160.9	1.6	-0.637737	4.73E-03	24.5279	1	24.3479	1	24.3694	1	25.0629	1	25.2151	0	24.8803	1	
	QDPR	Dihydropteridine reductase	1	1	P09417	P09417	1	1	1	25.789	4.1	-0.825722	2.65E-02	24.4701	1	24.546	1	24.2821	0	25.6926	1	24.9232	1	25.1596	1	
	COL11A2	Collagen alpha-2(XI) chain	1	1	P13942	P13942	1	1	1	171.79	0.5	-1.80191	5.02E-01	24.8771	1	30.0984	0	24.7781	1	30.006	0	24.9911	1	30.1622	0	
	MARCKS	Myristoylated alanine-rich C-kinase substrate	3	3	P29966	P29966	3	3	3	31.554	15.7	-2.66595	2.39E-01	28.5655	0	29.5248	0	23.3309	1	29.5637	0	29.8876	0	29.9677	0	
	TIGD1	Tigger transposable element-derived protein 1	1	1	Q96MW7	Q96MW7	1	1	1	67.298	2.5	-1.50353	5.35E-01	24.8378	1	23.7124	1	24.047	1	22.9117	1	30.0292	0	24.1669	1	
	CEP250	Centrosome-associated protein CEP250	3	3	Q9BV73	Q9BV73	3	3	3	281.13	1.4	-1.32262	5.58E-01	24.2434	1	23.9748	1	25.5495	1	24.7376	1	29.8369	0	23.1611	1	
	TRAFD1	TRAF-type zinc finger domain-containing protein 1	2	2	O14545	O14545	2	2	2	64.84	4.1	-1.43915	3.35E-01	28.7267	0	28.9502	0	24.9085	1	29.097	0	28.9045	0	28.9014	0	
	COPG1	Coatomer subunit gamma-1	8	7	Q9Y678	Q9Y678	8	8	7	97.717	11.6	-1.44039	3.15E-01	28.6329	0	28.2833	0	24.7337	1	28.601	0	28.9408	0	28.4292	0	
	EPS15L1	Epidermal growth factor receptor substrate 15-like 1	6	6	Q9UBC2	Q9UBC2	6	6	6	94.254	9.3	-1.18588	3.28E-01	28.6824	0	28.5944	0	25.4509	1	28.6678	0	28.681	0	28.9366	0	
	NUDC	Nuclear migration protein nudC	5	5	Q9Y266	Q9Y266	5	5	5	38.242	14.5	-2.01074	3.62E-01	28.073	0	24.3172	1	23.8102	1	27.7754	0	24.7857	1	29.6713	0	
	PRKAR1A	cAMP-dependent protein kinase type I-alpha regulatory subunit;cAMP-dependent protein kinase type I-alpha regulatory subunit, N-terminally processed	7	6	P10644	P10644	7	7	6	42.981	19.9	-2.60394	1.24E-01	27.3468	0	27.6685	0	23.5359	1	28.9005	0	28.4174	0	29.0451	0	
	FKBP4	Peptidyl-prolyl cis-trans isomerase FKBP4;Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed	5	5	Q02790	Q02790	5	5	5	51.804	13.9	-1.19498	3.40E-01	28.5489	0	24.9183	1	27.7281	0	28.3575	0	28.3712	0	28.0515	0	
	LEPRE1	Prolyl 3-hydroxylase 1	3	3	Q32P28	Q32P28	3	3	3	83.393	5.2	-1.49627	3.46E-01	23.9542	1	28.1212	0	28.1947	0	28.3476	0	28.1954	0	28.2159	0	
	IK	Protein Red	7	7	Q13123	Q13123	7	7	7	65.601	13.8	-2.75228	9.85E-02	27.8477	0	23.4523	1	25.2551	1	28.1038	0	28.5382	0	28.17	0	
	DDX43	Probable ATP-dependent RNA helicase DDX43	1	1	Q9NXZ2	Q9NXZ2	1	1	1	72.843	1.2	-1.18581	4.97E-01	24.3106	1	25.3375	1	24.6161	1	24.4197	1	24.3431	1	29.0588	0	
	QARS	Glutamine--tRNA ligase	5	5	P47897	P47897	5	5	5	87.798	8.3	-1.45489	3.56E-01	27.2039	0	28.5375	0	23.8498	1	28.0733	0	28.029	0	27.8536	0	
	GSPT1;GSPT2	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A;Eukaryotic peptide chain release factor GTP-binding subunit ERF3B	4	4	P15170;Q8IYD1	P15170;Q8IYD1	4;3	4;3	4;3	55.755	7.8	-1.14311	1.48E-01	25.754	1	27.5659	0	27.694	0	28.3166	0	27.9055	0	28.2213	0	
	DNAJB2;DNAJB8;DNAJB6	DnaJ homolog subfamily B member 2;DnaJ homolog subfamily B member 8;DnaJ homolog subfamily B member 6	2	2	P25686;Q8NHS0;O75190	P25686;Q8NHS0;O75190	2;1;1	2;1;1	2;1;1	35.58	5.2	-1.50426	4.79E-01	28.1212	0	24.3574	1	23.7568	1	28.4486	0	24.1933	1	28.1063	0	
