gene	foldChange	pValue	passFilter
MED21	-1.33726	1.42514	NO
PABPC1L	-1.29177	1.56764	NO
TAF15	-1.8471	1.42976	NO
CRBN	-1.25572	2.01596	NO
PEAK1	-1.11768	1.6553	NO
C8orf33	-1.02744	2.50855	NO
STRN4	-1.46619	1.76227	NO
TMEM106B	-1.23602	1.37265	NO
PIAS3	-1.88165	1.60538	NO
FAM169A	-1.02011	1.41631	NO
USP9X	-2.38971	4.78301	
ACACA	0.156771	0.854644	
PC	0.0414098	0.192539	
P02701	-0.134937	0.329441	
B00003	0.086352	0.920273	
RPS27A	-0.724	0.438951	NO
PDLIM1	0.454045	2.45189	
AIP	0.434502	2.51189	
STXBP3	-0.172132	1.88726	
APBB1	0.455345	1.77174	
HIP1	0.629203	1.68011	
IGF2BP3	-0.774295	3.05298	
PIK3C2A	0.269617	1.50005	
PIK3R2	0.59838	2.31496	
PLOD2	0.374994	1.97373	
DDX3X	0.843785	2.01834	
TRAFD1	0.405519	1.51181	
UBFD1	0.50762	2.03179	
COPE	-0.292934	1.38725	
PRMT5	-0.300866	2.2062	
TNPO2	0.204767	1.60179	
UNC13B	0.49733	1.63622	
POLR3A	-0.252555	2.26168	
IKBKB	-0.604275	3.37505	
HGS	0.446636	1.31866	
PPP1R12A	0.590209	1.81521	
XPO1	-0.436573	2.05706	
KHNYN	0.716225	3.049	
INPPL1	0.304063	1.82537	
XPOT	-0.145128	1.46361	
CALU	0.883322	3.40022	
KDM1A	-0.194201	1.49078	
EVI5	-0.666049	2.44835	
ACSL4	-0.214288	2.43491	
SYNCRIP	-0.310969	1.72677	
CDC40	0.305546	1.63185	
PRMT3	0.295324	2.02195	
CTNND1	0.300665	2.21513	
TOM1	0.491041	1.97171	
N4BP1	0.828276	1.85707	
CPNE3	0.283049	1.63754	
HIP1R	0.669427	1.77737	
ANKRD17	-0.160514	1.36307	
DNAJB6	0.290958	1.54928	
VPS4B	0.442615	1.82938	
ZNF324B	-0.92245	1.66802	
SNRNP200	-0.139921	1.78767	
TIPRL	0.376369	2.6928	
TOM1L1	0.524413	2.34026	
WDHD1	-0.410667	1.86458	
RNASEH2A	-0.432036	2.60945	
MPDZ	-0.266048	1.75132	
GLRX3	0.414566	2.68593	
RHOBTB3	-0.495166	1.97986	
IKBKAP	-0.189055	1.88536	
EPN2	0.481122	1.88753	
ARIH2	0.279402	1.67698	
CNOT4	0.321767	2.02492	
HSPA4L	-0.198731	1.32051	
AP2A1	0.237929	2.67064	
CLPTM1	0.360963	1.73251	
MT-CO2	0.538508	3.39101	
HLA-A	-0.19743	1.97033	
LMNA	0.729104	1.77675	
HSPB1	0.419281	1.79483	
TYMS	0.45391	1.37621	
ATP1A1	-0.192649	1.51311	
RPLP2	-0.389433	1.35012	
CDK1	0.319135	1.31262	
PYGL	-0.133036	1.63009	
P4HB	0.376395	1.47998	
SLC3A2	-0.200839	2.08716	
SRPR	0.307425	1.7368	
HNRNPA1	0.328535	4.09614	
HLA-B	-0.884668	1.71085	
HSPA5	0.72418	4.33478	
LAMC1	0.418348	1.58958	
PABPC1	-0.566616	2.37033	
IMPDH2	0.328743	1.6897	
XRCC5	0.0593185	1.80105	
TPT1	0.334728	1.43519	
PLS3	0.314112	2.85569	
PRKCSH	0.564338	2.63773	
TRIM27	-0.114686	1.68853	
HSP90B1	0.315988	1.76066	
CCNB1	-0.24686	1.36555	
GLUL	-0.227688	2.30163	
GCFC2	-0.461346	1.58876	
DDX5	0.182177	1.4894	
PFKL	-0.280244	3.9406	
TCP1	-0.537675	2.27125	
PGAM1	0.113084	1.32851	
HK1	-0.419542	2.6043	
BTF3	0.648381	1.54164	
PAICS	0.19306	2.00675	
TUBG1	0.361741	1.72585	
PPIB	0.691136	1.83107	
CFL1	0.237485	1.65636	
RRM1	0.158747	2.78778	
CDK2	0.244055	1.65783	
MSN	-0.147071	1.94537	
DDX6	0.396586	1.74753	
U2AF2	0.361102	1.50382	
EEF1G	-0.274548	2.23973	
MAPK3	0.403163	1.56873	
CALR	0.299819	2.01781	
MAP4	0.320236	1.95738	
CANX	0.485144	2.08823	
ABCD3	-0.307238	1.3703	
EEF1D	0.137414	1.33324	
ERP29	0.356597	1.67829	
CMPK1	-0.351261	1.62737	
PDIA3	0.349942	2.02846	
CDC27	-0.224858	1.65174	
SRI	0.25055	1.60444	
SLC7A1	-0.688189	2.33686	
RRM2	0.495014	2.00071	
HNRNPH3	0.810725	1.89476	
ACSL1	-0.172358	1.44338	
ABCC1	-0.250963	1.38682	
HSPA4	-0.154373	1.35064	
NF2	-0.215677	1.57918	
TAGLN2	0.469863	1.75924	
STAT3	0.133249	1.7664	
KDM5C	-0.181758	1.31114	
EPS15	0.321673	2.72152	
HTT	-0.229658	1.65175	
SLC1A3	-0.623837	1.56954	
RANBP1	0.871269	2.41178	
VDAC2	0.345757	1.51923	
NEDD4	0.381207	1.80853	
IQGAP1	-0.196377	2.04784	
SLC6A8	-0.507266	1.96683	
ARCN1	0.487555	1.31122	
PRRC2A	0.567135	2.59479	
DHPS	0.419454	1.86213	
CENPF	-0.184715	1.40135	
UBE2A	-0.523442	1.53769	
DNM2	0.226302	2.94209	
KNTC1	-0.526595	2.19559	
LRBA	-0.288619	1.40609	
ANXA11	0.425784	1.37681	
RAB5C	-0.611741	1.44414	
ALDH3A2	-0.253736	1.75986	
MSH6	-0.293039	1.61346	
KIF11	0.270155	1.33511	
HK2	-0.214856	1.59368	
RABGGTB	0.66245	1.74089	
COPB1	-0.219276	1.90191	
COPA	-0.180054	2.3233	
PRKAG1	0.335879	1.51311	
RAD23B	0.225624	1.32386	
SLC12A2	-0.343166	1.30611	
DRG2	0.233798	2.33057	
CSE1L	-0.228207	2.64712	
VCP	0.125075	1.94429	
MLLT4	0.510984	1.54011	
TPD52	0.892078	1.72846	
CTBP2	0.449826	2.31291	
EIF4A1	0.144525	2.7758	
SRP54	0.383188	3.00046	
UBE2K	-0.898177	2.6576	
ARF1	0.438126	2.43393	
ABCE1	-0.538507	3.49309	
PSME3	-0.233721	2.03713	
RPS7	-0.674433	1.58225	
PPP1CA	0.34319	1.48167	
RPL30	-0.850655	1.72429	
EIF5A	0.644729	2.48159	
GNB2L1	0.514739	1.47964	
NOMO2	0.281257	1.36065	
CXADR	0.328065	1.99444	
BASP1	-0.72509	1.59446	
XIAP	0.357544	1.65803	
HDLBP	0.38184	1.34108	
SET	0.263197	1.97574	
CAP1	0.418009	1.57778	
HMGCS1	-0.195396	2.04182	
EXOSC10	0.168735	1.37076	
CENPE	-0.354902	1.69606	
SP3	-0.378995	1.34142	
PLOD1	0.475444	2.76489	
TOP2B	-0.118112	1.45407	
TLE3	0.298393	1.52939	
CALD1	0.794682	1.3344	
PPAT	-0.425701	1.41508	
GFPT1	0.397104	1.95282	
CKAP4	0.25458	1.74938	
BAX	0.401007	2.40033	
MCL1	0.496566	2.9881	
AHNAK	0.371702	1.69194	
KIF1A	0.21227	1.72145	
TRIM26	-0.512533	1.3334	
TRAF2	0.367864	1.99088	
ARHGAP5	0.38831	1.42713	
CALCOCO2	0.464861	1.31932	
HNRNPA0	0.280698	1.78952	
PRDX4	0.580596	2.18298	
PAK2	0.560652	2.9102	
DDX10	0.620557	2.81935	
MAD2L1	0.82578	1.719	
PABPC4	-0.441835	2.78835	
UBE2V1	0.944017	2.69953	
FKBP5	-0.745984	1.40081	
PICALM	0.369125	1.52155	
IQGAP2	-0.186218	1.64914	
SNX1	0.321116	2.46942	
CUL2	-0.358774	2.66504	
TP53BP2	0.346238	1.51918	
FHL1	0.605546	1.5654	
MOGS	0.7225	2.2103	
SPTAN1	-0.292351	1.46009	
DDX39B	0.329093	1.90362	
ARHGEF7	0.290565	2.14619	
UBAP2L	0.505603	2.25233	
SCRIB	0.354624	1.50429	
TTLL12	0.128501	1.32822	
DCTN1	-0.171541	1.30674	
CTTN	0.460162	2.66305	
CAPRIN1	0.128864	1.54486	
NBR1	0.639144	1.90172	
TRIP12	-0.329655	1.95287	
GANAB	0.554717	3.09291	
GAPVD1	0.412738	1.9833	
SEPT2	0.24242	2.52556	
IQCB1	-0.461427	1.58065	
EIF4H	0.695899	2.0053	
EEA1	0.361573	2.05897	
PDIA6	0.371023	1.59583	
RCN1	0.567287	3.62456	
PCBP1	0.429071	1.6905	
PCBP2	0.407923	1.75281	
TCEB1	-0.442854	1.86086	
CNN3	0.744606	3.59457	
CYTH1	0.487911	1.30745	
MAPRE1	0.728404	1.40123	
SLC1A5	-0.47833	2.67885	
SEPT7	-0.707579	2.11766	
PKN2	0.229351	2.46005	
PPP2R5E	0.53932	1.87821	
CDC37	0.443947	1.62194	
BAK1	0.398035	1.37283	
DBN1	0.188518	1.4316	
CYP51A1	0.196243	1.36474	
TXNRD1	-0.26393	1.47134	
INF2	0.464857	1.94083	
ERCC6L	0.342194	2.68165	
EDRF1	-0.407965	2.48936	
CCDC88A	0.349676	2.91424	
GRIPAP1	0.335922	1.69882	
AMOT	-0.405678	1.48286	
PDCD4	-0.569778	1.47737	
PPP6R3	0.133446	1.36659	
C3orf38	0.528431	1.45711	
AMER1	0.483093	1.49172	
ACBD5	-0.317677	1.38648	
VPS53	-0.253803	1.73959	
RNF220	0.330478	1.46324	
ECM29	-0.310779	1.69301	
RRAGA	-0.356447	1.46317	
RNF219	-0.47093	2.92647	
CD276	-0.386389	1.4804	
OTUD7B	0.249837	1.32758	
TWF2	0.61657	1.97943	
CC2D1A	0.731546	3.56863	
SCYL2	0.372342	1.40733	
PDXDC1	0.268594	1.35742	
ZC3H14	-0.207313	1.48791	
BCOR	-0.303506	1.58392	
RAB11FIP1	0.561142	2.51121	
GIGYF2	0.995886	5.92811	
MMS22L	-0.707128	2.09569	
TOM1L2	0.507784	2.06996	
BTN2A1	-0.793641	2.68345	
SUPT6H	-0.11585	1.78926	
SV2A	-0.263152	1.40137	
BZW1	0.31993	2.1267	
G2E3	-0.305386	2.23947	
MOB1A	0.516492	2.42797	
ARMC9	0.397255	2.14681	
MON2	-0.346806	2.36896	
HAUS6	0.706893	2.2613	
GOLGA7	-0.27562	2.2226	
ZER1	-0.141778	1.4338	
N4BP2	0.457225	1.82813	
LUZP1	0.717642	1.91029	
VPS36	0.487542	1.4029	
TAX1BP1	0.32106	2.13197	
PPFIBP1	0.855691	3.01452	
SBF2	0.580786	1.33073	
NCAPG2	-0.265603	1.52837	
MIB1	-0.202744	1.34374	
PLD3	0.311029	1.80623	
ANKMY2	0.548386	1.59503	
DENND6A	0.299933	3.30915	
UEVLD	0.615148	2.09858	
DNAJC10	0.395789	1.87163	
ANKRD13A	0.196889	1.46933	
SPG20	0.47443	2.84466	
ASCC3	0.252242	1.46106	
VPS8	-0.343409	2.76934	
ANKRD52	0.345004	1.61273	
RNF214	0.493728	2.13854	
TNRC6A	0.892975	1.83491	
VANGL1	0.354623	1.99123	
WDR48	-0.1751	1.37591	
BBS10	-0.584951	1.49193	
NPLOC4	0.375324	2.59299	
FBXO30	0.710555	2.7258	
SHKBP1	0.195733	1.54985	
DNAJB14	0.279099	2.16838	
TBC1D15	0.492156	2.74249	
NUP210	0.656609	3.28232	
ARHGEF40	0.68225	1.38106	
UBASH3B	-0.399314	1.56184	
PDCD6IP	0.353653	1.72982	
FAR1	0.389118	1.89731	
ATXN2L	0.253234	2.05545	
PIBF1	-0.479481	2.4475	
DNAJC9	0.409029	2.65607	
DDX1	-0.140383	1.45502	
PSMF1	0.656937	1.70385	
GBF1	0.38669	3.00322	
HSPH1	-0.176111	1.97409	
GCN1L1	-0.247136	1.81089	
NUP205	0.126643	2.56964	
STAM	0.300419	1.38833	
UFD1L	0.254835	1.40575	
TNPO1	-0.373842	2.82353	
ARHGEF2	0.598703	2.24094	
UBE2E3	-0.725125	2.88107	
SYAP1	0.647601	2.00147	
FERMT2	0.559274	1.80191	
ZUFSP	-0.547045	1.53367	
VPS33A	-0.122868	2.22189	
MOB3A	0.534035	1.39564	
RNF31	0.257468	2.4744	
PDLIM5	0.85943	2.38297	
AHCYL2	-0.83807	2.45646	
CDK5RAP3	-0.22375	2.00365	
MAGED4	-0.920473	3.59326	
ELMO2	0.235902	2.21201	
CLPTM1L	0.44323	1.54311	
SCYL1	0.236521	1.36635	
EXOC2	-0.232476	3.45006	
RPRD1A	0.393945	1.67223	
KIF20B	-0.173694	1.56781	
VPS35	-0.223823	3.83762	
FNBP1	0.318728	1.97405	
PIGS	0.235758	1.32568	
MMS19	-0.351261	2.60438	
EYA3	0.367297	1.31926	
NUP88	-0.180513	1.53504	
TSG101	0.580556	4.72788	
PRMT1	0.320077	1.95338	
TCF25	0.662056	2.4809	
RIOK1	0.289227	1.78441	
TMEM43	0.620261	1.38808	
THUMPD3	0.387877	1.97865	
CEP250	-0.277646	1.72517	
DSCC1	-0.492537	1.77922	
LSM14B	0.838054	1.60232	
BBS2	-0.253487	1.52544	
TOLLIP	0.51266	1.78407	
SHARPIN	0.567884	2.26298	
ASCC2	0.454499	2.6147	
RBSN	0.348349	1.3216	
VPS16	-0.318771	2.09888	
TNKS2	-0.20232	1.89747	
KCTD10	0.342859	1.60401	
TXNIP	0.730716	1.40176	
PTPN23	0.105583	1.72398	
OSBPL3	-0.901365	1.58016	
HEATR1	-0.219201	2.48836	
FAM188A	0.217445	1.35153	
LRRC40	0.260559	2.2427	
ELP3	-0.583498	2.63012	
MOV10	-0.541215	1.89696	
SMURF1	-0.606387	2.23057	
EPB41L5	0.240312	3.63822	
GOPC	0.844176	2.25404	
VTA1	0.786166	2.32777	
DYNLRB1	-0.531059	1.37103	
LZTFL1	0.740645	1.78876	
SH3GLB2	0.510362	1.52652	
RAD18	-0.335113	1.73506	
FARSB	-0.24436	2.6464	
ATG3	0.22144	2.90582	
TMEM30A	-0.935965	1.31472	
PARVA	0.670673	1.56091	
PANK4	0.392248	1.83667	
FANCI	-0.165532	1.36311	
ARL8B	-0.357005	1.32915	
POLR3B	-0.585232	1.75559	
BABAM1	0.569492	1.79234	
THUMPD1	-0.594772	1.34338	
UGGT1	0.475631	5.95771	
GGA3	0.761904	2.22272	
FAM120A	-0.614654	1.8737	
IGF2BP1	-0.859027	2.64657	
HSPBP1	0.340289	1.71928	
ITSN2	0.590723	2.28874	
VPS18	-0.280272	3.96334	
BCCIP	0.463905	3.46758	
STK26	0.430244	2.12149	
ANKIB1	-0.385328	1.50532	
TFIP11	-0.292662	1.83446	
EPS15L1	0.478881	3.17818	
SEL1L	0.681979	2.74525	
PEF1	0.469617	2.8665	
PARP2	-0.354474	1.4227	
NDRG3	0.748458	1.48404	
SUN2	0.222113	1.93454	
SRP68	-0.225215	1.505	
MKRN1	-0.234027	1.31752	
DDX20	0.266571	1.49432	
SLC12A6	-0.634303	1.85325	
ATP6V1H	-0.417514	1.94945	
CDC23	-0.367351	2.40198	
GGA1	0.7961	3.74637	
FEM1B	0.438084	3.5731	
FBXO3	0.111826	1.78538	
APPL1	0.261335	2.22745	
AGO2	0.892445	3.41666	
KIDINS220	-0.184319	1.38406	
HECTD1	-0.815208	2.33468	
MYO6	0.189861	1.37188	
FAF1	0.350464	3.34936	
DIMT1	-0.520146	1.60614	
TIMELESS	-0.635857	3.17055	
NSFL1C	0.62028	2.19498	
POLH	-0.79916	1.6148	
NUDC	0.602587	2.16974	
ITM2B	-0.490604	2.21234	
DRG1	-0.370015	1.4358	
DNAJC16	0.277916	2.21788	
NISCH	0.46969	2.86537	
EPB41L3	-0.123096	1.36787	
TDRKH	0.208886	1.48219	
UBE2J1	-0.440915	1.49198	
RTCB	0.330453	2.81683	
HBS1L	0.493073	1.99235	
MTF2	0.212699	1.32707	
RAD54L2	0.591059	2.44639	
FAM21C	0.399318	1.59814	
TRAF6	0.371372	2.31727	
NUB1	-0.179351	1.49872	
CD2AP	0.360432	2.25669	
SNX9	0.317136	1.82257	
SNX5	0.196562	1.98427	
ARFGEF1	0.347399	2.97394	
EPN1	0.295157	1.698	
IGF2BP2	-0.638177	2.47622	
SLC4A7	-0.285076	1.32403	
CAPN7	0.537946	3.21673	
MORC2	0.589526	1.80931	
SH3PXD2B	-1.34612	0.636375	
TARSL2	-1.25485	1.04795	
CTDSP2	-1.01334	0.436855	
ADAM10	-1.54004	1.27814	
RER1	-1.06125	0.931261	
WBSCR22	-1.05725	0.375259	
ZFC3H1	-1.08022	0.460245	
HSBP1	-1.08103	0.414242	
SLC22A5	-1.32683	0.661631	
VAMP5	-1.19224	0.492686	
UTS2	-2.54269	0.489003	
SEC24A	-1.63544	1.28992	
SEC24B	-1.30365	0.685964	
STARD3NL	-1.06654	0.962119	
ZBED1	-2.43838	1.09424	
GSR	-1.00309	0.454365	
KRT6B	-1.272	0.713392	
HIST1H2AC	-1.24172	0.611641	
RPLP1	-1.08011	0.50871	
HIST1H1E	-1.44887	0.614542	
STMN1	-1.04577	0.854815	
HSPA6	-3.74008	0.400251	
PRKCA	-1.39983	0.659191	
GM2A	-1.17056	0.577484	
RAB5A	-1.1011	0.27775	
PTMS	-1.3423	1.25962	
PSMB5	-1.92434	1.15287	
PRSS3	-2.30022	0.406261	
PPP1CC	-1.05337	0.304362	
GGCX	-1.1126	0.336677	
SLC19A1	-1.59669	0.431403	
PIK3CB	-1.46144	0.455044	
RPS27	-1.41564	0.711061	
RPL29	-1.0977	0.34535	
HLCS	-1.72361	0.790361	
RPL14	-1.3714	0.551038	
CDKN2D	-1.22155	1.21077	
OR2B6	-1.94959	0.778982	
UBE2G2	-2.07389	1.20373	
UBE2N	-1.21377	1.03708	
LYZ	-2.09293	0.577762	
UBE2G1	-1.04012	0.907847	
UBE2H	-1.34633	1.18788	
SNRPD3	-1.73169	0.422791	
GNB2	-1.58906	0.370624	
RPL11	-2.14725	0.836261	
GRB2	-1.9359	0.824341	
PSPH	-1.30233	0.605763	
LCN2	-1.00969	0.808067	
ERH	-1.57527	0.249614	
CHD3	-2.033	1.24787	
MYO1E	-1.29269	0.784407	
ADAM9	-1.49832	1.26777	
GTF2H3	-1.06209	1.04427	
BOP1	-1.77071	1.1249	
GK2	-1.22943	0.708221	
EMC2	-1.02967	0.695142	
LAPTM4A	-1.25383	1.00713	
CDSN	-1.25197	0.6301	
VAMP3	-1.51276	0.5338	
SMN1	-1.1983	0.786985	
CDO1	-1.45736	0.369758	
CLEC16A	-1.05986	0.473773	
CCDC14	-1.06738	0.613132	
CEP55	-1.42595	1.01739	
C11orf73	-1.11803	0.900181	
HSP90AB4P	-1.37991	0.24804	
MTX3	-1.00573	0.864301	
TOR1AIP1	-1.1631	0.491148	
XP32	-1.17416	0.276368	
TMEM164	-1.11151	0.687457	
ZCCHC6	-1.38445	0.725014	
DENND4C	-1.02969	0.409354	
STEAP3	-1.95088	0.715209	
AMMECR1L	-1.01174	0.56196	
THOC7	-1.11284	0.413308	
ZNF770	-2.55248	1.00187	
ADNP2	-1.051	0.689129	
ZFP1	-1.93976	0.888863	
ATAD2	-1.49133	0.664397	
CASC1	-2.62053	0.525863	
MAP3K15	-1.78425	1.24573	
TUBA1A	-1.55594	0.555957	
GVINP1	-1.59363	0.552813	
PEX26	-1.39398	0.415428	
HDGFRP2	-1.52435	0.591821	
FBXO33	-1.09782	1.07338	
METTL3	-1.62349	0.539342	
RALGPS2	-1.14758	0.401426	
CPNE8	-1.09737	0.93428	
PHYKPL	-1.30569	0.646792	
FOXP4	-1.12251	0.805474	
KATNAL2	-2.36214	0.498129	
CDYL2	-1.14289	0.272916	
GDPD1	-1.05518	0.426432	
SMC1B	-1.43426	0.421604	
NGDN	-1.0021	0.965101	
USP32	-1.15066	0.603919	
PUM2	-1.15153	0.701668	
GOLGA5	-1.75301	0.76333	
LRRC8C	-1.34393	0.495347	
USP33	-1.2546	1.19098	
SHROOM3	-1.26066	0.38233	
RNF141	-1.02198	0.455989	
UBE2Q2	-1.97075	0.701478	
PCNP	-1.68095	1.10713	
CCT6B	-1.46172	0.390777	
TFG	-1.36971	0.356556	
PMM1	-1.05153	0.864755	
CELF1	-1.33908	0.442794	
STMN2	-1.07359	0.470942	
PSMG2	-2.25358	0.66321	
CMBL	-1.81517	0.36744	
GNPNAT1	-1.35445	1.0873	
C1GALT1C1	-1.0643	0.906763	
ZNF503	-1.14376	1.14604	
DCAF5	-1.41144	0.935129	
TUBGCP5	-1.51634	0.425564	
CNN2	-1.15436	1.06928	
PARK7	-1.50215	0.70169	
EBNA1BP2	-1.40623	0.821114	
RNF5	-1.95154	0.564168	
VIMP	-1.01981	0.288708	
EIF2AK1	-1.83909	0.611183	
ANKRD32	-1.09935	0.519856	
PSMG3	-2.67281	1.05973	
FUCA2	-1.16409	1.21831	
EFHD1	-1.31059	0.377733	
VAMP8	-1.41116	0.804184	
UTP14A	-1.37394	0.782854	
TMUB1	-1.42174	0.828755	
CCDC94	-1.1681	0.475874	
TBC1D10A	-1.19784	0.427697	
SLC12A9	-1.67375	0.891011	
DPY30	-1.52432	0.666743	
SRR	-1.26189	0.549142	
UBA5	-1.25897	0.973773	
TSPYL1	-1.94724	0.949957	
SLC38A1	-1.69349	0.558643	
PRR36	-1.407	0.87256	
RNF167	-1.08914	0.530955	
TMEM206	-1.07889	0.394087	
CSRP2BP	-1.18452	1.15097	
FBRS	-1.08716	0.407738	
BPIFA1	-1.98783	0.781092	
C12orf4	-1.83773	1.02901	
HEBP1	-1.01599	0.527502	
TMEM248	-1.54657	0.512851	
CDKN2AIP	-1.17753	0.566413	
HEATR5B	-1.23946	0.87966	
UVRAG	-1.91017	0.787491	
NCDN	-1.29702	1.01096	
UXT	-1.13051	0.676826	
METTL1	-1.08671	0.959982	
SERPINA10	-1.66304	0.406845	
RAB23	-1.49371	0.481589	
ATAD2B	-1.27803	0.936517	
SUFU	-1.36091	1.28694	
SLC5A6	-1.69855	0.528405	
SSX2IP	-1.21601	0.629444	
ZNF281	-1.47802	0.537861	
MEMO1	-1.00681	0.882321	
RNF114	-1.00135	0.162317	
CFAP20	-1.06694	0.433994	
SLC30A1	-1.06206	0.488922	
KRT87P	1.35565	0.406029	
FAM127A	1.48856	0.567558	
PSMD9	1.05466	0.281967	
SDCBP	2.11913	1.04505	
C2CD2L	1.05781	0.406597	
DSCR3	1.07918	0.510638	
ANKRD28	1.23898	0.653073	
WDR46	1.01676	0.515928	
ZZEF1	2.13606	0.981382	
MSI1	1.80872	1.11588	
EPB41L2	1.16828	0.641854	
ENSA	1.49658	0.439468	
KIF1B	1.44857	1.15823	
CCNT1	1.17884	0.521496	
EIF4E2	1.19879	1.26275	
DIAPH2	1.45451	0.573157	
PEX14	1.2917	0.392821	
GMNN	1.45936	0.436055	
RNF8	1.05701	0.330177	
SOGA1	1.361	1.02084	
SLITRK5	1.17264	0.489635	
MPZL1	1.19215	0.496587	
AHSA1	2.01596	0.506612	
FGFR1OP	1.14981	0.691409	
SNAP29	1.31793	1.19353	
IGKC	1.17509	0.349673	
NR3C1	1.4596	0.64413	
CKM	1.36805	0.305707	
LAMB1	1.32904	1.08697	
CD63	1.23315	0.560758	
ALDOC	1.4184	0.571126	
TRAPPC2B	1.15746	0.508539	
BCR	1.26209	0.842742	
ENO3	2.22215	0.438705	
CD46	1.37565	0.897203	
RAB6A	1.74627	0.453545	
TAF1	2.14666	0.681908	
RYR1	1.67078	0.498605	
CBL	1.50686	0.918929	
SSFA2	1.05699	0.779152	
EEF1D	1.09593	0.24182	
CORO1A	1.28372	0.717362	
GNL1	1.55227	1.08091	
CAP2	1.13575	1.11562	
PBX1	1.34902	0.60355	
CASP2	1.48339	1.19202	
MAPK9	1.27037	0.909279	
METAP1	1.35084	0.635816	
IST1	1.49342	0.452454	
ATXN3	1.25256	0.561034	
SUMO2	2.12705	0.227242	
RAB11A	1.65927	1.16306	
RPL8	1.61264	0.398058	
UBE2B	1.01768	0.427601	
DYNLL2	1.12668	0.198773	
TUBA4A	1.55699	0.935741	
HIST2H3A	1.84995	0.409593	
IGBP1	1.0633	1.14219	
RBM6	1.0795	1.14932	
ARHGAP8	1.43457	0.900854	
AMPD2	1.36643	0.229249	
RING1	1.54731	0.481467	
ZNF33A	1.78426	1.27247	
SCRN3	1.16787	0.946063	
TWF1	1.06502	1.14889	
CBLB	1.40038	1.0556	
CAMK2G	1.25567	0.355527	
ACVR2B	1.32451	0.793694	
LASP1	1.04757	0.360841	
ARHGEF6	1.31037	0.711375	
PLCL1	3.25115	1.10753	
RAB35	1.06651	1.05698	
TAF7	1.15867	0.459399	
TRIP10	2.15604	0.927065	
PRR4	1.02054	0.355858	
PFKFB3	1.20472	0.713023	
PAN2	1.02821	0.594778	
C17orf85	1.31688	0.935642	
PDLIM3	1.24122	1.20676	
PCID2	1.25832	0.681322	
RBM20	1.13642	0.598979	
SOGA3	1.0175	0.656166	
CROCC	1.60287	0.386795	
CEP350	1.09753	0.282083	
LRCH2	1.58353	1.02494	
ATL3	1.29694	0.328945	
TTC33	1.18932	1.22449	
RNF111	1.18729	0.497242	
TBC1D9	1.40188	0.704566	
TMUB2	1.91841	0.805639	
DHX30	1.29757	0.795381	
TAOK1	1.47515	0.633854	
ZNF554	1.37869	0.781616	
ERICH1	1.01634	0.352869	
RELL1	1.33795	0.833707	
NUDCD3	1.39449	0.488218	
SIRT2	1.53617	0.864007	
