Leading Gene names	Gene names	Protein names	Total Peptides	Unique peptides	Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Mol. weight [kDa]	Sequence coverage [%]	Fold Change RNAi/CONTROL	p-value	LFQ intensity RNAi_1	Imputed (0=no/1=yes)	LFQ intensity RNAi_2	Imputed (0=no/1=yes)	LFQ intensity RNAi_3	Imputed (0=no/1=yes)	LFQ intensity Control_1	Imputed (0=no/1=yes)	LFQ intensity Control_2	Imputed (0=no/1=yes)	LFQ intensity Control_3	Imputed (0=no/1=yes)	GlyGly (K) site positions
DLG3	DLG3	Disks large homolog 3	7	6	Q92796-3;Q92796-2;Q92796	Q92796-3;Q92796-2;Q92796	7;7;6	6;6;5	6;6;5	42.111	29.5	3.54	3.1E-02	26.4868	0	26.4486	0	25.9867	0	24.3818	1	23.6135	1	25.4559	0	
C10orf88	C10orf88	Uncharacterized protein C10orf88	4	4	Q9H8K7	Q9H8K7	4	4	4	49.248	13.7	3.30	3.2E-02	25.0002	1	26.7574	0	26.161	0	24.1545	1	24.5288	1	24.0671	1	
TMEM259	TMEM259	Membralin	3	3	Q4ZIN3-2;Q4ZIN3	Q4ZIN3-2;Q4ZIN3	3;3	3;3	3;3	46.43	8.8	8.02	3.1E-04	27.0868	0	27.0511	0	27.1786	0	23.733	1	23.9828	1	24.5913	1	
SEPT6	SEPT6	Septin-6	7	2	Q14141-2;Q14141-4;Q14141;Q14141-3	Q14141-2;Q14141-4;Q14141	7;7;7;3	2;2;2;1	2;2;2;1	48.872	18	4.51	9.4E-04	26.8416	0	26.1814	0	26.156	0	24.3725	1	24.2722	1	24.0179	1	
CCND2	CCND2	G1/S-specific cyclin-D2	2	2	P30279-2;P30279	P30279-2;P30279	2;2	2;2	2;2	24.46	9.6	10.01	9.3E-04	26.7778	0	26.6417	0	26.6895	0	23.3564	1	22.7396	1	24.0442	1	
ARAF	ARAF	Serine/threonine-protein kinase A-Raf	5	2	P10398	P10398	5	5	2	67.585	8.9	2.29	3.2E-02	26.2366	0	26.7655	0	26.2503	0	25.8006	0	24.6655	1	25.1974	1	
CCDC17	CCDC17	Coiled-coil domain-containing protein 17	2	2	Q96LX7;Q96LX7-2;Q96LX7-5	Q96LX7;Q96LX7-2;Q96LX7-5	2;1;1	2;1;1	2;1;1	67.72	5.8	5.98	3.3E-02	27.2724	0	25.4107	1	26.462	0	24.9721	1	23.4227	1	23.0069	1	
CCDC124	CCDC124	Coiled-coil domain-containing protein 124	3	3	Q96CT7	Q96CT7	3	3	3	25.835	16.1	3.86	1.4E-03	26.0234	0	25.5881	0	25.8825	0	23.5224	1	23.8669	1	24.26	1	
RPL13A	RPL13A;RPL13AP3	60S ribosomal protein L13a;Putative 60S ribosomal protein L13a protein RPL13AP3	2	2	P40429;Q6NVV1	P40429;Q6NVV1	2;1	2;1	2;1	23.577	9.4	3.27	6.5E-03	26.522	0	25.9527	0	26.2427	0	24.0734	1	25.054	1	24.4608	1	
TSR1	TSR1	Pre-rRNA-processing protein TSR1 homolog	7	7	Q2NL82	Q2NL82	7	7	7	91.809	11.1	2.50	2.9E-02	26.0058	0	26.4289	0	25.2093	1	24.8612	1	24.265	1	24.547	1	
ZNF768	ZNF768	Zinc finger protein 768	2	2	Q9H5H4	Q9H5H4	2	2	2	60.228	4.1	4.03	4.1E-02	26.0075	0	25.0421	1	26.151	0	23.4858	1	22.8545	1	24.823	1	
VHL	VHL	Von Hippel-Lindau disease tumor suppressor	2	2	P40337-3;P40337;P40337-2	P40337-3;P40337;P40337-2	2;2;1	2;2;1	2;2;1	18.532	13.1	4.55	5.6E-03	25.9389	0	25.7203	0	25.3176	0	22.8929	1	24.1315	1	23.3978	1	
GNA12	GNA12	Guanine nucleotide-binding protein subunit alpha-12	3	2	Q03113;Q03113-3;Q03113-2	Q03113;Q03113-3;Q03113-2	3;2;2	2;1;1	2;1;1	44.279	6.8	2.29	1.2E-02	25.3461	0	25.628	0	25.2516	0	23.7934	1	24.6458	1	24.2023	1	
COG3	COG3	Conserved oligomeric Golgi complex subunit 3	7	7	Q96JB2;Q96JB2-2	Q96JB2;Q96JB2-2	7;5	7;5	7;5	94.095	9.1	2.75	4.6E-02	24.6666	1	25.9112	0	25.7548	0	24.3314	1	23.3304	1	24.2906	1	
TCP11L2	TCP11L2	T-complex protein 11-like protein 2	3	3	Q8N4U5-2;Q8N4U5	Q8N4U5-2;Q8N4U5	3;3	3;3	3;3	29.869	13.2	2.94	3.1E-03	26.3341	0	26.1137	0	25.8973	0	24.1845	1	24.907	1	24.5837	1	
MICALL1	MICALL1	MICAL-like protein 1	5	5	Q8N3F8	Q8N3F8	5	5	5	93.44	7.2	4.41	2.5E-03	26.0129	0	26.2869	0	25.9486	0	23.389	1	24.4184	1	24.0181	1	
FBXL3	FBXL3	F-box/LRR-repeat protein 3	3	3	Q9UKT7	Q9UKT7	3	3	3	48.707	9.8	2.50	4.5E-02	25.794	0	24.5422	1	24.5168	1	23.792	1	23.833	1	23.2689	1	
CORO7	CORO7	Coronin-7	3	3	P57737-2;P57737-4;P57737;P57737-3	P57737-2;P57737-4;P57737;P57737-3	3;3;3;3	3;3;3;3	3;3;3;3	91.654	5.5	3.75	2.7E-03	25.9706	0	25.6022	0	25.4286	0	23.3325	1	23.7935	1	24.1598	1	
WDR73	WDR73	WD repeat-containing protein 73	2	2	Q6P4I2	Q6P4I2	2	2	2	41.685	6.9	2.88	1.8E-03	25.3379	0	24.9851	1	25.0107	1	23.4735	1	23.9232	1	23.3573	1	
LAP3	LAP3	Cytosol aminopeptidase	2	2	P28838-2;P28838	P28838-2;P28838	2;2	2;2	2;2	52.771	4.3	3.05	4.1E-02	25.4877	0	24.3165	1	25.2536	1	22.61	1	23.8862	1	23.7401	1	
TMED10	TMED10	Transmembrane emp24 domain-containing protein 10	2	2	P49755	P49755	2	2	2	24.976	10.5	2.61	3.7E-03	25.2131	1	25.6685	1	25.187	0	23.9855	1	24.2488	1	23.6747	1	
IP6K1	IP6K1	Inositol hexakisphosphate kinase 1	2	2	Q92551-2;Q92551	Q92551-2;Q92551	2;2	2;2	2;2	31.524	6.9	2.09	2.5E-02	25.0315	1	24.5269	1	25.168	0	23.8671	1	23.4253	1	24.236	1	
MINK1	MINK1	Misshapen-like kinase 1	11	2	Q8N4C8-5;Q8N4C8-2;Q8N4C8-3;Q8N4C8-4;Q8N4C8	Q8N4C8-5;Q8N4C8-2;Q8N4C8-3;Q8N4C8-4;Q8N4C8	11;11;11;11;11	2;2;2;2;2	2;2;2;2;2	143.64	8.3	3.75	1.1E-02	26.0526	0	25.9137	0	24.7375	1	23.8571	1	23.6248	1	23.4974	1	
DNMT3A	DNMT3A	DNA (cytosine-5)-methyltransferase 3A	3	3	Q9Y6K1-2;Q9Y6K1	Q9Y6K1-2;Q9Y6K1	3;3	3;3	3;3	81.612	4.8	2.11	2.7E-02	24.7192	0	25.1847	0	24.8549	1	23.5395	1	24.4119	1	23.5722	1	
BCAP29	BCAP29	B-cell receptor-associated protein 29	2	2	Q9UHQ4;Q9UHQ4-2	Q9UHQ4;Q9UHQ4-2	2;2	2;2	2;2	28.32	10	2.39	4.1E-02	25.4511	1	24.2347	1	25.2754	0	23.7264	0	24.0555	1	23.4119	1	
REPS1	REPS1	RalBP1-associated Eps domain-containing protein 1	3	3	Q96D71-2;Q96D71-4;Q96D71-3;Q96D71;Q8NFH8-3;Q8NFH8-2;Q8NFH8-4;Q8NFH8	Q96D71-2;Q96D71-4;Q96D71-3;Q96D71	3;3;3;3;1;1;1;1	3;3;3;3;1;1;1;1	3;3;3;3;1;1;1;1	76.837	5.4	2.14	7.0E-03	24.8789	1	25.2829	0	24.8181	0	23.652	1	24.1951	1	23.8326	1	
C5orf22	C5orf22	UPF0489 protein C5orf22	1	1	Q49AR2-2;Q49AR2	Q49AR2-2;Q49AR2	1;1	1;1	1;1	20.249	5.1	2.48	5.4E-04	24.8041	1	24.8682	1	24.8392	1	23.283	1	23.7208	1	23.5736	0	
DGKD	DGKD	Diacylglycerol kinase delta	1	1	Q16760-2;Q16760	Q16760-2;Q16760	1;1	1;1	1;1	130.32	1.1	2.11	1.3E-03	24.6265	1	24.7689	1	24.5172	1	23.3521	1	23.7432	0	23.5761	1	
SH3PXD2A	SH3PXD2A	SH3 and PX domain-containing protein 2A	2	2	Q5TCZ1-2;Q5TCZ1-3;Q5TCZ1	Q5TCZ1-2;Q5TCZ1-3;Q5TCZ1	2;2;2	2;2;2	2;2;2	102.62	1.7	3.10	5.0E-02	24.9073	1	24.9447	1	25.1839	1	24.4421	1	22.4467	0	23.2474	1	
TOMM40	TOMM40	Mitochondrial import receptor subunit TOM40 homolog	1	1	O96008-2;O96008	O96008-2;O96008	1;1	1;1	1;1	34.441	4.3	2.12	1.7E-02	24.4961	1	24.5706	1	25.0548	1	23.291	1	23.5621	0	24.0256	1	
DPY19L1	DPY19L1	Probable C-mannosyltransferase DPY19L1	1	1	Q2PZI1	Q2PZI1	1	1	1	77.318	1.5	2.41	6.3E-04	24.1816	1	24.0216	1	24.4267	1	22.8607	0	22.9189	1	23.0492	1	
SYNJ1	SYNJ1	Synaptojanin-1	2	2	O43426-4;O43426-2;O43426;O43426-5	O43426-4;O43426-2;O43426;O43426-5	2;2;2;1	2;2;2;1	2;2;2;1	143.25	1.9	2.30	3.9E-02	25.1668	1	24.6795	1	24.269	1	23.0019	1	24.0426	1	23.4616	0	
BRCA2	BRCA2	Breast cancer type 2 susceptibility protein	1	1	P51587	P51587	1	1	1	384.2	0.4	2.58	1.4E-02	24.9787	1	24.3457	1	24.9111	1	22.887	0	23.755	1	23.4873	1	
PATZ1	PATZ1	POZ-, AT hook-, and zinc finger-containing protein 1	4	3	Q9HBE1-4;Q9HBE1-2;Q9HBE1-3;Q9HBE1	Q9HBE1-4;Q9HBE1-2;Q9HBE1-3;Q9HBE1	4;4;4;4	3;3;3;3	3;3;3;3	57.601	8	2.50	1.7E-02	24.4339	1	24.4627	1	24.5536	1	22.6612	1	23.7915	1	23.0319	0	
HIST2H2AC	HIST2H2AC;HIST2H2AA3;HIST1H2AJ;HIST1H2AH;H2AFJ;HIST1H2AD;HIST1H2AG	Histone H2A type 2-C;Histone H2A type 2-A;Histone H2A type 1-J;Histone H2A type 1-H;Histone H2A.J;Histone H2A type 1-D;Histone H2A type 1	9	3	Q16777;Q6FI13;Q99878;Q96KK5;Q9BTM1;P20671;P0C0S8;Q9BTM1-2	Q16777;Q6FI13;Q99878;Q96KK5;Q9BTM1;P20671;P0C0S8;Q9BTM1-2	9;9;8;8;8;8;8;6	9;9;8;8;8;8;8;6	3;3;2;2;2;2;2;2	13.988	58.9	0.44	4.0E-03	34.6567	0	35.1126	0	34.7411	0	35.8985	0	35.8419	0	36.2822	0	119;120
VCP	VCP	Transitional endoplasmic reticulum ATPase	47	47	P55072	P55072	47	47	47	89.321	65.5	1.09	1.1E-02	34.8431	0	34.9299	0	34.8579	0	34.7689	0	34.74	0	34.7468	0	8;668
HSPA5	HSPA5	78 kDa glucose-regulated protein	37	36	P11021	P11021	37	36	36	72.332	52.9	1.65	4.6E-05	34.811	0	34.9137	0	34.8383	0	34.0843	0	34.1513	0	34.1547	0	547
PABPC1	PABPC1	Polyadenylate-binding protein 1	33	19	P11940;P11940-2;Q9H361;Q96DU9-2;Q96DU9	P11940;P11940-2	33;30;12;2;2	33;30;12;2;2	19;16;10;0;0	70.67	56.4	0.68	4.3E-03	33.8704	0	33.8979	0	33.7329	0	34.3246	0	34.5648	0	34.3116	0	78;95;312;512
AMOT	AMOT	Angiomotin	55	52	Q4VCS5;Q4VCS5-2	Q4VCS5;Q4VCS5-2	55;33	55;33	52;31	118.08	59.2	0.75	3.3E-02	34.0985	0	34.2975	0	34.3244	0	34.4984	0	34.8487	0	34.5903	0	94;113;156;231;464;525
MYO6	MYO6	Unconventional myosin-VI	63	63	Q9UM54-6;Q9UM54-4;Q9UM54-1;Q9UM54;Q9UM54-5;Q9UM54-2	Q9UM54-6;Q9UM54-4;Q9UM54-1;Q9UM54;Q9UM54-5;Q9UM54-2	63;61;61;61;60;60	63;61;61;61;60;60	63;61;61;61;60;60	148.66	52.5	1.14	4.2E-02	34.5641	0	34.6836	0	34.6336	0	34.4472	0	34.5264	0	34.3382	0	993;1076;1141
HSPA4	HSPA4	Heat shock 70 kDa protein 4	37	35	P34932;P34932-2	P34932	37;3	37;3	35;3	94.33	52.4	0.90	4.5E-02	33.6442	0	33.716	0	33.6584	0	33.795	0	33.923	0	33.7638	0	517;559;733;736
XRCC5	XRCC5	X-ray repair cross-complementing protein 5	36	36	P13010	P13010	36	36	36	82.704	62.4	1.04	1.6E-02	33.7664	0	33.7754	0	33.7888	0	33.6917	0	33.7257	0	33.7353	0	195
MSN	MSN	Moesin	37	27	P26038	P26038	37	37	27	67.819	57.4	0.90	1.1E-02	33.613	0	33.5729	0	33.5557	0	33.716	0	33.7817	0	33.6852	0	139;209
EEF1D	EEF1D	Elongation factor 1-delta	13	1	P29692;P29692-2	P29692;P29692-2	13;12	13;12	1;1	31.121	52	1.10	4.6E-02	33.2976	0	33.4395	0	33.3685	0	33.1804	0	33.2529	0	33.2601	0	117
PLS3	PLS3	Plastin-3	36	28	P13797;P13797-2;P13797-3	P13797;P13797-2;P13797-3	36;31;30	36;31;30	28;23;22	70.81	60.5	1.24	1.4E-03	33.7818	0	33.7955	0	33.7205	0	33.4791	0	33.4892	0	33.3872	0	
PDCD6IP	PDCD6IP	Programmed cell death 6-interacting protein	41	1	Q8WUM4-2	Q8WUM4-2	41	41	1	96.771	45.4	1.28	1.9E-02	33.7059	0	33.826	0	33.7335	0	33.4453	0	33.5217	0	33.2375	0	506;643;712
CANX	CANX	Calnexin	33	33	P27824;P27824-2;P27824-3	P27824;P27824-2;P27824-3	33;33;26	33;33;26	33;33;26	67.567	50.7	1.40	8.2E-03	33.8471	0	34.0017	0	33.9027	0	33.3872	0	33.6028	0	33.3061	0	87;170;380;382;401;458;459
HSPH1	HSPH1	Heat shock protein 105 kDa	33	1	Q92598-2;Q92598;Q92598-3	Q92598-2;Q92598;Q92598-3	33;33;30	32;32;29	1;1;1	92.115	53.2	0.89	1.1E-02	33.4611	0	33.4757	0	33.3762	0	33.6177	0	33.6523	0	33.5712	0	
EIF4A1	EIF4A1	Eukaryotic initiation factor 4A-I	25	13	P60842;P60842-2	P60842;P60842-2	25;19	25;19	13;9	46.153	50.5	1.11	1.7E-03	33.1647	0	33.1756	0	33.1239	0	33.0281	0	32.99	0	33.0126	0	54;309;369;381
SLC3A2	SLC3A2	4F2 cell-surface antigen heavy chain	30	2	P08195;P08195-3;P08195-4	P08195;P08195-3;P08195-4	30;29;29	30;29;29	2;1;1	67.993	52.7	0.87	8.2E-03	33.3723	0	33.4258	0	33.4257	0	33.5842	0	33.6818	0	33.5604	0	147;171
IQGAP1	IQGAP1	Ras GTPase-activating-like protein IQGAP1	68	64	P46940	P46940	68	68	64	189.25	50.8	0.87	9.0E-03	33.5822	0	33.718	0	33.6617	0	33.84	0	33.836	0	33.8751	0	
IGF2BP1	IGF2BP1	Insulin-like growth factor 2 mRNA-binding protein 1	28	25	Q9NZI8;Q9NZI8-2;REV__Q15833	Q9NZI8;Q9NZI8-2	28;17;1	28;17;1	25;14;0	63.48	47.5	0.55	2.3E-03	32.8292	0	32.9418	0	32.602	0	33.6296	0	33.7852	0	33.5353	0	213;266;272;450
SLC1A5	SLC1A5	Neutral amino acid transporter B(0)	16	16	Q15758;Q15758-3;Q15758-2	Q15758;Q15758-3;Q15758-2	16;10;10	16;10;10	16;10;10	56.598	28.8	0.72	2.1E-03	33.0729	0	32.9355	0	33.1052	0	33.5884	0	33.4396	0	33.5206	0	502;522;537
ATP1A1	ATP1A1	Sodium/potassium-transporting ATPase subunit alpha-1	36	36	P05023-4;P05023;P05023-3;P05023-2;P13637;P13637-2;P13637-3;P50993;Q13733;P20648;P54707;P54707-2	P05023-4;P05023;P05023-3;P05023-2	36;36;32;25;13;13;13;10;5;3;2;2	36;36;32;25;13;13;13;10;5;3;2;2	36;36;32;25;13;13;13;10;5;3;2;2	113	40.2	0.87	3.1E-02	33.1196	0	33.2018	0	33.1529	0	33.3706	0	33.4324	0	33.2493	0	9
RAD23B	RAD23B	UV excision repair protein RAD23 homolog B	18	15	P54727;P54727-2	P54727;P54727-2	18;10	18;10	15;10	43.171	55.7	1.17	4.7E-02	33.1819	0	33.2067	0	33.257	0	33.0462	0	32.8379	0	33.0847	0	51;76;147;151
SUMO2	SUMO2	Small ubiquitin-related modifier 2	5	3	P61956-2;P61956	P61956-2;P61956	5;5	5;5	3;3	8.1111	57.7	4.37	5.9E-01	31.4601	0	31.4357	0	32.956	0	22.878	1	31.476	0	35.1166	0	5;7;11;42
IMPDH2	IMPDH2	Inosine-5-monophosphate dehydrogenase 2	23	22	P12268	P12268	23	23	22	55.804	49.2	1.26	2.0E-02	33.2329	0	33.1965	0	33.2353	0	32.8451	0	32.771	0	33.0623	0	195;293;422
XPO1	XPO1	Exportin-1	32	32	O14980	O14980	32	32	32	123.38	37	0.74	8.8E-03	32.5685	0	32.8489	0	32.6611	0	33.1464	0	33.1871	0	33.0546	0	
UBE2K	UBE2K	Ubiquitin-conjugating enzyme E2 K	10	10	P61086;P61086-2;P61086-3	P61086;P61086-2;P61086-3	10;7;6	10;7;6	10;7;6	22.406	70.5	0.54	2.2E-03	32.139	0	32.1258	0	32.3704	0	33.2632	0	32.9195	0	33.147	0	
EEF1G	EEF1G	Elongation factor 1-gamma	22	22	P26641;P26641-2	P26641;P26641-2	22;21	22;21	22;21	50.118	51.7	0.83	5.8E-03	32.5345	0	32.4966	0	32.4963	0	32.8109	0	32.8524	0	32.6878	0	147
GCN1L1	GCN1L1	Translational activator GCN1	104	104	Q92616	Q92616	104	104	104	292.75	46.2	0.84	1.5E-02	33.1156	0	33.2076	0	33.1346	0	33.305	0	33.4926	0	33.4016	0	
H2AFV	H2AFV;H2AFZ	Histone H2A.V;Histone H2A.Z	6	4	Q71UI9;P0C0S5;Q71UI9-4;Q71UI9-2;Q71UI9-3	Q71UI9;P0C0S5;Q71UI9-4;Q71UI9-2;Q71UI9-3	6;6;5;5;4	4;4;4;3;3	4;4;4;3;3	13.509	53.9	0.17	3.7E-02	31.8056	0	29.0641	0	30.9961	0	33.4981	0	33.2115	0	32.8702	0	
CDK1	CDK1	Cyclin-dependent kinase 1	19	17	P06493;P06493-2	P06493;P06493-2	19;14	19;14	17;13	34.095	68.7	1.25	4.9E-02	32.6603	0	32.8663	0	32.5421	0	32.4261	0	32.4408	0	32.2444	0	6;139
SYNCRIP	SYNCRIP	Heterogeneous nuclear ribonucleoprotein Q	25	21	O60506-3;O60506-4;O60506;O60506-2;O60506-5	O60506-3;O60506-4;O60506;O60506-2;O60506-5	25;24;24;23;19	25;24;24;23;19	21;20;20;19;16	62.656	44.5	0.81	1.9E-02	32.5932	0	32.5281	0	32.4951	0	32.9131	0	32.6982	0	32.9379	0	356;363
HGS	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	21	21	O14964;O14964-2	O14964;O14964-2	21;19	21;19	21;19	86.191	27	1.36	4.8E-02	32.7868	0	32.9163	0	32.5445	0	32.331	0	32.4864	0	32.0903	0	513
GANAB	GANAB	Neutral alpha-glucosidase AB	41	2	Q14697-2	Q14697-2	41	41	2	109.44	50.2	1.47	8.1E-04	32.9209	0	33.1027	0	33.041	0	32.4563	0	32.5222	0	32.422	0	359;494
APPL1	APPL1	DCC-interacting protein 13-alpha	28	28	Q9UKG1;Q8NEU8-2;Q8NEU8;Q8NEU8-3	Q9UKG1	28;1;1;1	28;1;1;1	28;1;1;1	79.663	50.8	1.20	5.9E-03	32.7172	0	32.8066	0	32.7445	0	32.4246	0	32.5672	0	32.4925	0	
USP9X	USP9X	Probable ubiquitin carboxyl-terminal hydrolase FAF-X	77	77	Q93008-1;Q93008;O00507;O00507-2	Q93008-1;Q93008	77;77;30;26	77;77;30;26	77;77;30;26	290.46	36.1	0.19	1.6E-05	31.3562	0	31.361	0	31.1348	0	33.548	0	33.736	0	33.7371	0	
HSP90B1	HSP90B1	Endoplasmin	35	34	P14625;Q58FF3	P14625	35;5	34;5	34;5	92.468	42.8	1.24	1.7E-02	32.7829	0	32.8221	0	32.8857	0	32.524	0	32.639	0	32.3798	0	348;455;593
FAF1	FAF1	FAS-associated factor 1	20	20	Q9UNN5;Q9UNN5-2	Q9UNN5;Q9UNN5-2	20;15	20;15	20;15	73.953	39.7	1.27	4.5E-04	32.7196	0	32.6687	0	32.7664	0	32.3931	0	32.335	0	32.3752	0	
SPG20	SPG20	Spartin	20	20	Q8N0X7	Q8N0X7	20	20	20	72.832	35.4	1.39	1.4E-03	32.8007	0	32.7074	0	32.874	0	32.292	0	32.2748	0	32.3921	0	362;370
PYGL	PYGL	Glycogen phosphorylase, liver form	42	36	P06737-2;P06737;P11217-2;P11217	P06737-2;P06737	42;42;7;7	42;42;7;7	36;36;1;1	93.133	53.6	0.91	2.3E-02	32.375	0	32.2655	0	32.3071	0	32.4803	0	32.4138	0	32.4527	0	10
EPS15	EPS15	Epidermal growth factor receptor substrate 15	33	33	P42566;P42566-2	P42566	33;16	33;16	33;16	98.655	49.3	1.25	1.9E-03	32.6081	0	32.6659	0	32.6535	0	32.3861	0	32.33	0	32.2464	0	
TNPO1	TNPO1	Transportin-1	23	17	Q92973-2;Q92973;Q92973-3	Q92973-2;Q92973;Q92973-3	23;23;19	23;23;19	17;17;14	101.31	34.8	0.77	1.5E-03	31.9883	0	32.0587	0	32.1325	0	32.4297	0	32.4779	0	32.3933	0	
TCP1	TCP1	T-complex protein 1 subunit alpha	24	24	P17987	P17987	24	24	24	60.343	58.6	0.69	5.4E-03	31.9961	0	31.9274	0	31.7514	0	32.335	0	32.398	0	32.5549	0	259;541
HBS1L	HBS1L	HBS1-like protein	24	19	Q9Y450;Q9Y450-4	Q9Y450;Q9Y450-4	24;22	24;22	19;19	75.472	49.7	1.41	1.0E-02	32.6672	0	32.655	0	32.4269	0	32.1521	0	32.1753	0	31.9425	0	129
NF2	NF2	Merlin	28	27	P35240-8;P35240-3;P35240;P35240-2;P35240-6;P35240-5;P35240-4;P35240-7;P35240-10;P35240-9	P35240-8;P35240-3;P35240;P35240-2;P35240-6;P35240-5;P35240-4	28;28;28;28;26;26;25;13;8;4	28;28;28;28;26;26;25;13;8;4	27;27;27;27;25;25;24;13;8;4	65.35	45.8	0.86	2.6E-02	32.1396	0	32.2242	0	32.06	0	32.3281	0	32.438	0	32.3047	0	367
CSE1L	CSE1L	Exportin-2	33	33	P55060-3;P55060;P55060-4;P55060-2	P55060-3;P55060;P55060-4	33;33;30;8	33;33;30;8	33;33;30;8	107.78	37.9	0.85	2.3E-03	32.1516	0	32.1604	0	32.1425	0	32.4442	0	32.3534	0	32.3415	0	
CALU	CALU	Calumenin	22	5	O43852;O43852-3;O43852-6;O43852-5;O43852-10;O43852-15;O43852-9;O43852-13;O43852-14;O43852-11;O43852-12	O43852;O43852-3;O43852-6;O43852-5;O43852-10;O43852-15;O43852-9	22;22;16;15;14;12;11;10;10;10;5	22;22;16;15;14;12;11;10;10;10;5	5;5;5;5;5;0;1;5;5;5;0	37.106	72.1	1.84	4.0E-04	32.4112	0	32.4641	0	32.5525	0	31.4553	0	31.6804	0	31.6422	0	70;165
STAT3	STAT3	Signal transducer and activator of transcription 3	30	30	P40763-3;P40763-2;P40763	P40763-3;P40763-2;P40763	30;30;30	30;30;30	30;30;30	83.125	52.8	1.10	1.7E-02	32.3001	0	32.3389	0	32.3364	0	32.245	0	32.1946	0	32.136	0	294
COPA	COPA	Coatomer subunit alpha;Xenin;Proxenin	44	44	P53621;P53621-2	P53621;P53621-2	44;44	44;44	44;44	138.34	41.3	0.88	4.8E-03	32.4633	0	32.5578	0	32.5556	0	32.7024	0	32.6971	0	32.7173	0	
PABPC4	PABPC4	Polyadenylate-binding protein 4	33	20	Q13310-2;Q13310-3;Q13310	Q13310-2;Q13310-3;Q13310	33;33;31	23;23;21	20;20;18	69.578	45.6	0.74	1.6E-03	31.9665	0	32.0199	0	32.015	0	32.4362	0	32.5419	0	32.3489	0	78
SLC12A2	SLC12A2	Solute carrier family 12 member 2	39	39	P55011;P55011-3;Q13621-3;Q13621	P55011;P55011-3	39;38;1;1	39;38;1;1	39;38;1;1	131.45	39.7	0.79	4.9E-02	32.2605	0	32.5819	0	32.4381	0	32.6158	0	32.8882	0	32.8061	0	971;1098;1118;1125;1127
