Leading	Gene names	Protein names	Peptides	Unique peptides	Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Mol. weight [kDa]	Sequence coverage [%]	Fold Change RNAi/Control	p-value	LFQ intensity RNAi_1	imputed (0=no/1=yes)	LFQ intensity RNAi_2	imputed (0=no/1=yes)	LFQ intensity RNAi_3	imputed (0=no/1=yes)	LFQ intensity CONTROL_1	imputed (0=no/1=yes)	LFQ intensity CONTROL_2	imputed (0=no/1=yes)	LFQ intensity CONTROL_3	imputed (0=no/1=yes)	GlyGly (K) site positions
	PSMF1	Proteasome inhibitor PI31 subunit	1	1	Q92530	Q92530	1	1	1	29.816	4.4	2.56038364815639	0.005602733947938	8.70778	1	8.65017	1	9.31086	0	7.32973	1	7.78541	1	7.4846	1	
	WDR26	WD repeat-containing protein 26	3	3	Q9H7D7	Q9H7D7	3	3	3	72.123	5.9	2.23610820235705	0.048673211241204	8.84095	1	8.65362	1	7.62316	1	7.39513	1	7.36374	1	6.8759	0	
	PRPF8	Pre-mRNA-processing-splicing factor 8	3	3	Q6P2Q9	Q6P2Q9	3	3	3	273.6	1	2.94494359063252	0.029021509652939	8.40551	1	8.97705	0	8.46486	1	6.29544	1	7.09035	1	7.7869	1	
	PRPF6	Pre-mRNA-processing factor 6	2	2	O94906	O94906	2	2	2	106.92	2.2	2.71202410220549	0.005665914283085	8.29413	1	8.79309	1	8.48803	1	7.20994	0	6.65246	1	7.39476	1	
	MCCC1	Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial	5	5	Q96RQ3	Q96RQ3	5	5	5	80.472	8	2.12987682655199	0.033624048234219	8.24189	1	8.39316	1	9.20623	0	7.63699	1	7.1924	1	7.73957	1	
	ENO1	Alpha-enolase	20	20	P06733;P13929;P09104	P06733	20;1;1	20;1;1	20;1;1	47.168	56	0.732397615902005	0.004156234088299	13.9312	0	14.0125	0	14.1302	0	14.381	0	14.5516	0	14.4892	0	5
	VIM	Vimentin	33	30	P08670;P17661;P41219	P08670	33;4;2	33;4;2	30;2;1	53.651	67.4	0.664383891692169	0.003407846307268	14.0858	0	14.2991	0	14.2171	0	14.8207	0	14.6541	0	14.897	0	
	EEF1G	Elongation factor 1-gamma	11	11	P26641	P26641	11	11	11	50.118	23.8	0.664879591545958	0.014793808750985	13.737	0	13.8884	0	13.7333	0	14.3554	0	14.1534	0	14.6165	0	
	HNRNPM	Heterogeneous nuclear ribonucleoprotein M	22	22	P52272	P52272	22	22	22	77.515	37.8	0.783099211250169	0.042563761400145	14.0222	0	13.6849	0	14.0047	0	14.3175	0	14.1595	0	14.293	0	
	NCL	Nucleolin	14	14	P19338	P19338	14	14	14	76.613	22.1	1.33790158837815	0.01007859514415	13.5581	0	13.286	0	13.5359	0	13.0617	0	13.0728	0	12.9856	0	
	SF3A1	Splicing factor 3A subunit 1	20	20	Q15459	Q15459	20	20	20	88.885	27.7	0.525619972019297	0.040025798067444	11.6189	0	10.9413	0	11.7775	0	12.2483	0	12.1567	0	12.7165	0	
	SAMHD1	Deoxynucleoside triphosphate triphosphohydrolase SAMHD1	9	9	Q9Y3Z3	Q9Y3Z3	9	9	9	72.2	15.8	1.30204923243597	0.023994958326306	11.8775	0	11.9085	0	12.1671	0	11.496	0	11.6841	0	11.6307	0	
	TRIM25	E3 ubiquitin/ISG15 ligase TRIM25	6	6	Q14258	Q14258	6	6	6	70.973	10.8	0.697474800997271	0.036332058098828	11.3664	0	11.0215	0	11.3099	0	11.7531	0	11.9763	0	11.5278	0	
	NF2	Merlin	7	7	P35240	P35240	7	7	7	69.689	14.1	0.568792757423449	0.014016513511309	11.047	0	10.8683	0	11.28	0	11.5714	0	12.0573	0	12.0087	0	396
	FUBP3	Far upstream element-binding protein 3	2	1	Q96I24	Q96I24	2	1	1	61.64	3	0.687893438685078	0.021845902951154	7.44173	1	7.8462	1	7.89322	1	8.21832	1	8.33972	0	8.24234	1	
	RAB10	Ras-related protein Rab-10	1	1	P61026	P61026	1	1	1	22.541	5.5	1.88567493993619	0.0393994355485	7.75235	0	8.19673	1	7.92593	1	6.9442	1	6.62476	1	7.5608	1	
	NUP88	Nuclear pore complex protein Nup88	1	1	Q99567	Q99567	1	1	1	83.541	1.5	0.72792564655085	0.007894052311366	7.55987	1	7.63015	1	7.43372	1	8.00708	0	7.86906	1	8.12201	1	
	TBC1D23	TBC1 domain family member 23	1	1	Q9NUY8	Q9NUY8	1	1	1	78.321	2.3	0.557304612901087	0.010167168004664	7.26102	1	7.15449	1	7.53228	1	7.89397	0	8.18782	1	8.39638	1	
	PIP	Prolactin-inducible protein	1	1	P12273	P12273	1	1	1	16.572	6.8	0.630257374960498	0.000823625909251	7.64311	1	7.53967	1	7.65211	1	8.20479	1	8.40535	0	8.2227	1	
	UBE2M	NEDD8-conjugating enzyme Ubc12	3	3	P61081	P61081	3	3	3	20.9	16.4	0.560690293641912	0.021513942323737	7.43607	1	7.4512	1	7.47921	0	7.94506	1	8.71954	1	8.20606	1	
	RPLP2	60S acidic ribosomal protein P2	8	8	P05387	P05387	8	8	8	11.665	79.1	0.474332294004907	0.078462113074783	12.8712	0	14.4567	0	13.6723	0	14.7452	0	14.755	0	14.7281	0	41
	RAB11B;RAB11A	Ras-related protein Rab-11B;Ras-related protein Rab-11A	10	10	Q15907;P62491;P57735	Q15907;P62491	10;9;1	10;9;1	10;9;1	24.488	47.7	0.286715141341556	0.347942916935452	13.0232	0	7.84031	1	12.8251	0	13.1054	0	12.9254	0	13.0648	0	
	SFN	14-3-3 protein sigma	3	1	P31947	P31947	3	1	1	27.774	10.5	0.329178040100305	0.476901842143677	8.76134	1	6.49429	1	7.72766	1	7.02441	1	7.64644	1	13.1216	0	
	HIST1H1C;HIST1H1E;HIST1H1D	Histone H1,2;Histone H1,4;Histone H1,3	4	4	P16403;P10412;P16402;P22492;Q02539	P16403;P10412;P16402	4;4;4;1;1	4;4;4;1;1	4;4;4;1;1	21.364	15.5	0.078841552742559	0.14360514505613	13.6939	0	7.53426	1	7.77177	1	13.5766	0	13.2208	0	13.1972	0	
	KATNAL2	Katanin p60 ATPase-containing subunit A-like 2	1	1	Q8IYT4	Q8IYT4	1	1	1	61.252	2.2	0.337752885502504	0.472359876082693	7.79734	1	8.21484	1	8.11102	1	7.05375	1	13.4862	0	8.28112	1	
	ACLY	ATP-citrate synthase	18	18	P53396	P53396	18	18	18	120.84	18.3	0.477793787358254	0.224577891476279	13.9383	0	11.4684	0	12.2561	0	13.8584	0	13.6397	0	13.3614	0	
	HNRNPK	Heterogeneous nuclear ribonucleoprotein K	11	11	P61978	P61978	11	11	11	50.976	32.4	0.372920497022889	0.370876230297153	12.3652	0	12.5411	0	8.30105	1	12.2577	0	13.0506	0	12.1683	0	
	PSME3	Proteasome activator complex subunit 3	7	7	P61289	P61289	7	7	7	29.506	37	0.463628127540709	0.402620607686555	12.1176	0	8.51842	1	12.0071	0	12.1779	0	11.9423	0	11.8499	0	
	TPM4	Tropomyosin alpha-4 chain	5	1	P67936	P67936	5	5	1	28.521	18.1	0.232683368486415	0.317918645904343	12.1697	0	11.6755	0	6.40913	1	12.028	0	12.2265	0	12.3105	0	
	GNAI3	Guanine nucleotide-binding protein G(k) subunit alpha	6	4	P08754	P08754	6	6	4	40.532	24	0.492231878688385	0.57854480736554	7.61921	1	9.577	1	7.98974	1	7.45845	1	12.5525	0	8.24277	1	
	PSMA6	Proteasome subunit alpha type-6	6	6	P60900	P60900	6	6	6	27.399	29.3	0.210610606725604	0.109777415012102	8.69936	1	9.06762	1	12.1444	0	12.4117	0	12.1554	0	12.0864	0	
	XPO1	Exportin-1	16	16	O14980	O14980	16	16	16	123.38	18.3	0.494005839259019	0.114996599959479	12.5703	0	11.3102	0	12.0911	0	12.3263	0	13.4783	0	13.2192	0	
	LRRC9	Leucine-rich repeat-containing protein 9	1	1	Q6ZRR7	Q6ZRR7	1	1	1	166.91	0.8	0.388121430436314	0.541399686556938	8.0528	1	7.7521	1	8.52675	1	6.67918	1	13.4358	0	8.31295	1	
	ANXA5	Annexin A5	10	10	P08758	P08758	10	10	10	35.936	35.6	0.320181087904642	0.34145305285411	11.7663	0	7.20471	1	11.7818	0	11.9315	0	11.8891	0	11.8613	0	
	AHCY	Adenosylhomocysteinase	11	11	P23526	P23526	11	11	11	47.716	25.9	0.340144578603082	0.352500713185204	7.37378	1	11.8421	0	11.7571	0	11.6497	0	11.9644	0	12.0263	0	
	PCBP2	Poly(rC)-binding protein 2	6	4	Q15366	Q15366	6	6	4	38.58	23.8	0.150960184877451	0.116068667860725	7.07812	1	11.6785	0	8.50423	1	11.6054	0	11.9053	0	11.9334	0	
	CACYBP	Calcyclin-binding protein	7	7	Q9HB71	Q9HB71	7	7	7	26.21	45.2	0.389069555589632	0.628482226019479	7.69495	1	7.14227	1	12.8509	0	6.86489	1	12.4509	0	12.458	0	
	WBP2	WW domain-binding protein 2	4	4	Q969T9	Q969T9	4	4	4	28.087	13	0.299313654440438	0.442725971895308	7.74151	1	7.16061	1	12.089	0	12.3321	0	11.7796	0	8.10026	1	
	SNX1	Sorting nexin-1	4	3	Q13596	Q13596	4	3	3	59.069	8.2	0.200706605019511	0.197561356744836	8.37803	1	7.47402	1	6.99969	1	12.8197	0	8.64264	1	8.3399	1	
	YWHAB	14-3-3 protein beta/alpha;14-3-3 protein beta/alpha, N-terminally processed	8	5	P31946	P31946	8	5	5	28.082	41.5	0.092524548453515	0.096631784559328	7.26012	1	11.5388	0	6.4306	1	12.0855	0	11.8088	0	11.6372	0	
	RUVBL1	RuvB-like 1	9	9	Q9Y265	Q9Y265	9	9	9	50.227	28.7	0.377181285212737	0.334078094589714	11.3188	0	11.924	0	7.88751	1	11.6547	0	11.4264	0	12.2692	0	
	RPLP0;RPLP0P6	60S acidic ribosomal protein P0;60S acidic ribosomal protein P0-like	7	7	P05388;Q8NHW5	P05388;Q8NHW5	7;4	7;4	7;4	34.273	32.5	0.223891241967919	0.196687608577033	8.04154	1	7.4563	1	11.8895	0	11.092	0	11.277	0	11.4958	0	
	ADRM1	Proteasomal ubiquitin receptor ADRM1	4	4	Q16186	Q16186	4	4	4	42.153	11.5	0.162666604407352	0.207377196967142	7.15386	1	7.73463	1	12.6278	0	11.4641	0	11.9432	0	11.969	0	
	PA2G4	Proliferation-associated protein 2G4	10	10	Q9UQ80	Q9UQ80	10	10	10	43.786	23.9	0.254862320058706	0.247581961859657	6.8121	1	10.6709	0	11.4841	0	11.4045	0	11.4073	0	12.072	0	
	MATR3	Matrin-3	11	11	P43243	P43243	11	11	11	94.622	16.4	0.234167051390968	0.14344156008144	12.242	0	8.47238	1	11.3741	0	12.4489	0	12.9063	0	13.0163	0	
	PAICS	Multifunctional protein ADE2;Phosphoribosylaminoimidazole-succinocarboxamide synthase;Phosphoribosylaminoimidazole carboxylase	11	11	P22234	P22234	11	11	11	47.079	25.4	0.156461542685232	0.132590375332902	7.23712	1	7.6646	1	11.6815	0	11.3401	0	11.5424	0	11.7292	0	11
	RAN	GTP-binding nuclear protein Ran	3	3	P62826	P62826	3	3	3	24.423	14.8	0.419592268542281	0.286872554056984	10.8371	0	8.13932	1	11.438	0	11.6032	0	11.3506	0	11.2194	0	
	GNB2L1	Guanine nucleotide-binding protein subunit beta-2-like 1;Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed	5	5	P63244	P63244	5	5	5	35.076	17.7	0.418558157410763	0.539629893532186	7.38352	1	9.47102	1	7.40103	1	7.30189	1	12.8099	0	7.91326	1	
	ILF2	Interleukin enhancer-binding factor 2	7	7	Q12905	Q12905	7	7	7	43.062	27.9	0.22658275998037	0.196315233086009	7.64596	1	8.90913	1	8.74675	1	7.92663	1	11.8828	0	11.918	0	
	GDI2	Rab GDP dissociation inhibitor beta	9	9	P50395;P31150	P50395	9;4	9;4	9;4	50.663	26.3	0.473662052515936	0.606200094872136	11.5032	0	7.90788	1	7.94248	1	11.7083	0	7.16172	1	11.7177	0	
	ASNS	Asparagine synthetase [glutamine-hydrolyzing]	11	11	P08243	P08243	11	11	11	64.369	25.1	0.207600237602235	0.175170915604606	7.15977	1	11.2885	0	11.0928	0	12.5195	0	11.5253	0	12.3006	0	
	CKB	Creatine kinase B-type	7	7	P12277	P12277	7	7	7	42.644	25.7	0.249015939981283	0.343705118694991	7.56597	1	11.2015	0	6.43308	1	11.4618	0	8.0231	1	11.7327	0	
	MCM2	DNA replication licensing factor MCM2	12	12	P49736	P49736	12	12	12	101.89	17.4	0.309611293102754	0.114546810242574	11.2842	0	8.91598	1	11.3565	0	11.7052	0	12.4904	0	12.4354	0	
	IQGAP1	Ras GTPase-activating-like protein IQGAP1	22	21	P46940;Q86VI3	P46940	22;2	22;2	21;1	189.25	15.5	0.29211330990467	0.361102919756645	12.6792	0	7.5248	1	12.6622	0	12.9275	0	12.8624	0	12.4025	0	
	AARS	Alanine--tRNA ligase, cytoplasmic	16	16	P49588	P49588	16	16	16	106.81	21.6	0.309890406890725	0.284697727134838	11.0074	0	11.5011	0	7.17485	1	11.4524	0	11.7236	0	11.5779	0	
	NPM1	Nucleophosmin	3	3	P06748	P06748	3	3	3	32.575	12.6	0.406686780118343	0.37257696445639	8.60935	1	6.76312	1	6.8134	1	7.55075	1	10.9787	0	7.55044	1	
	ACTR2	Actin-related protein 2	5	5	P61160	P61160	5	5	5	44.76	16.2	0.287463362514877	0.217070596662716	8.02005	1	7.78469	1	8.52954	1	7.50164	1	10.9313	0	11.297	0	
	DRG1	Developmentally-regulated GTP-binding protein 1	6	6	Q9Y295	Q9Y295	6	6	6	40.542	22.9	0.248343690710476	0.160518096122398	7.86297	1	8.15273	1	7.25175	1	10.9766	0	10.828	0	7.49168	1	
	GPS1	COP9 signalosome complex subunit 1	7	7	Q13098	Q13098	7	7	7	55.536	18.7	0.457803373786242	0.371777412084496	7.70893	1	11.2429	0	10.7884	0	10.7218	0	11.1613	0	11.2388	0	
	HDAC2	Histone deacetylase 2	5	2	Q92769	Q92769	5	5	2	55.364	14.8	0.411627136476097	0.550732872874141	7.29871	1	11.2957	0	7.62835	1	11.4279	0	7.03488	1	11.6017	0	
	PPM1G	Protein phosphatase 1G	8	8	O15355	O15355	8	8	8	59.271	16.8	0.142548029345878	0.147862144281243	7.38324	1	6.79278	1	11.6797	0	11.9143	0	10.8708	0	11.5022	0	
	CAND1	Cullin-associated NEDD8-dissociated protein 1	14	14	Q86VP6	Q86VP6	14	14	14	136.37	13.7	0.315643949102282	0.123673314434453	11.0307	0	10.8412	0	8.49423	1	11.2711	0	12.0488	0	12.0371	0	
	USO1	General vesicular transport factor p115	11	11	O60763	O60763	11	11	11	107.89	13.9	0.211397467685436	0.108975281615184	11.4639	0	8.22662	1	8.3753	1	11.0625	0	11.98	0	11.7493	0	
	CROCC	Rootletin	1	1	Q5TZA2	Q5TZA2	1	1	1	228.52	0.4	0.232965786425787	0.097203074112919	7.33965	1	7.30264	1	6.85433	1	8.07341	1	8.55817	1	11.1705	0	
	BRCC3	Lys-63-specific deubiquitinase BRCC36	5	5	P46736	P46736	5	5	5	36.072	17.4	0.397013508105372	0.484663149310247	11.0516	0	7.02426	1	6.89909	1	10.6902	0	7.52097	1	10.762	0	
	PRMT1	Protein arginine N-methyltransferase 1	3	3	Q99873	Q99873	3	3	3	41.515	10.5	0.387720789700578	0.379087967627154	7.11991	1	7.93232	1	8.25852	1	7.25209	1	8.42638	1	11.733	0	
	OGT	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	12	12	O15294	O15294	12	12	12	116.92	12.9	0.275472460083502	0.274501675730326	10.7897	0	6.59306	1	11.0665	0	11.2417	0	10.954	0	11.8336	0	
	NAA15	N-alpha-acetyltransferase 15, NatA auxiliary subunit	12	12	Q9BXJ9;Q6N069	Q9BXJ9	12;3	12;3	12;3	101.27	14.2	0.296778811572283	0.349649571223715	10.7212	0	6.56833	1	7.61906	1	10.9647	0	11.3174	0	7.88415	1	
	RAD23A	UV excision repair protein RAD23 homolog A	6	4	P54725	P54725	6	4	4	39.609	14.3	0.218803845654839	0.212208121041995	6.6254	1	6.74676	1	10.8664	0	10.7855	0	9.28779	1	10.7421	0	
	RPL6	60S ribosomal protein L6	8	8	Q02878	Q02878	8	8	8	32.728	32.6	0.280520867554041	0.273973148078513	11.2921	0	11.3155	0	7.02596	1	11.6798	0	11.2963	0	12.1589	0	
	SNX2	Sorting nexin-2	8	7	O60749	O60749	8	8	7	58.47	18.7	0.130880312209717	0.070480666122426	7.83194	1	7.89963	1	7.14231	1	8.23325	1	11.9911	0	11.4506	0	
	EFTUD2	116 kDa U5 small nuclear ribonucleoprotein component	11	10	Q15029	Q15029	11	10	10	109.43	13.3	0.166831081437392	0.102173671602976	7.25135	1	6.98143	1	8.48277	1	10.7987	0	11.7139	0	7.95356	1	
	MAP4	Microtubule-associated protein 4	15	15	P27816	P27816	15	15	15	121	15.7	0.324738423159775	0.328480051411962	10.6165	0	12.5641	0	7.56178	1	12.0703	0	11.7488	0	11.7912	0	
	EIF4G2	Eukaryotic translation initiation factor 4 gamma 2	10	10	P78344	P78344	10	10	10	102.36	11.4	0.352252048115268	0.431870957945443	11.5197	0	7.15874	1	7.8282	1	11.2272	0	11.5746	0	8.22079	1	
	HNRNPH1	Heterogeneous nuclear ribonucleoprotein H;Heterogeneous nuclear ribonucleoprotein H, N-terminally processed	5	2	P31943	P31943	5	5	2	49.229	14.9	0.49122639907339	0.421846062724451	8.22027	1	8.16137	1	7.7208	1	11.2914	0	8.31502	1	7.57265	1	
	PDIA4	Protein disulfide-isomerase A4	6	6	P13667	P13667	6	6	6	72.932	10.1	0.381929960039171	0.416440539082462	7.41783	1	10.416	0	7.68506	1	11.3974	0	10.7593	0	7.52806	1	
	STX12	Syntaxin-12	6	6	Q86Y82	Q86Y82	6	6	6	31.642	29.3	0.380389676989076	0.153979533660902	7.40548	1	8.64327	1	6.74921	1	7.91173	1	9.83346	0	9.23613	0	
	NONO	Non-POU domain-containing octamer-binding protein	8	7	Q15233	Q15233	8	7	7	54.231	18	0.247458756673751	0.209565602353205	7.52292	1	6.68273	1	6.37141	1	7.16092	1	11.4341	0	8.02631	1	
	SRP68	Signal recognition particle subunit SRP68	11	11	Q9UHB9	Q9UHB9	11	11	11	70.729	20.6	0.498384118047133	0.511542827891612	7.57344	1	10.6383	0	8.36433	1	7.77203	1	11.0963	0	10.7217	0	
	YWHAG	14-3-3 protein gamma;14-3-3 protein gamma, N-terminally processed	5	3	P61981	P61981	5	3	3	28.302	20.6	0.487725057602271	0.416137640123363	9.42968	0	7.96639	1	6.64649	1	10.6759	0	8.25341	1	8.22087	1	
	TFIP11	Tuftelin-interacting protein 11	6	6	Q9UBB9	Q9UBB9	6	6	6	96.819	8	0.440309537562233	0.504209471994159	7.85373	1	7.58606	1	11.444	0	8.097	1	11.3541	0	10.9829	0	
	OTUB1	Ubiquitin thioesterase OTUB1	4	4	Q96FW1	Q96FW1	4	4	4	31.284	15.9	0.416191671385289	0.329276699530322	8.85389	1	7.33837	1	7.66979	1	8.24442	1	11.3022	0	8.10943	1	
	DDI2	Protein DDI1 homolog 2	6	6	Q5TDH0	Q5TDH0	6	6	6	44.522	19.8	0.360937263194868	0.200858400526024	8.96886	1	8.05154	1	7.98848	1	10.802	0	10.623	0	7.99451	1	
	SH3GL1	Endophilin-A2	2	2	Q99961	Q99961	2	2	2	41.489	5.4	0.280925599120761	0.335127448473539	7.74359	1	7.13035	1	6.99921	1	6.49795	1	12.1884	0	8.682	1	
	SUMO1	Small ubiquitin-related modifier 1	3	3	P63165;CON__sw|P81644_CONT|CONT_P81644	P63165	3;1	3;1	3;1	11.557	27.7	0.232731758663717	0.25822245156381	6.6097	1	7.25318	1	7.81486	1	12.4266	0	7.47683	1	8.08408	1	
	FLNA	Filamin-A	14	12	P21333;Q14315	P21333	14;2	14;2	12;0	280.74	7.5	0.422080475470258	0.53518138607055	10.9843	0	8.47217	1	7.86494	1	7.2182	1	12.0569	0	11.7796	0	
	RCN1	Reticulocalbin-1	2	2	Q15293	Q15293	2	2	2	38.89	5.7	0.289890507889729	0.250547457513368	8.31686	1	7.3224	1	7.04068	1	10.4446	0	6.80792	1	10.7867	0	
	HNRNPD	Heterogeneous nuclear ribonucleoprotein D0	5	4	Q14103	Q14103	5	5	4	38.434	18.3	0.327614246521349	0.175140667271107	6.99346	1	7.33817	1	9.93345	0	9.97499	0	9.08027	1	10.0396	0	
	RPL30	60S ribosomal protein L30	1	1	P62888	P62888	1	1	1	12.784	7	0.318275938677936	0.189100640569673	7.01885	1	6.70783	1	7.38808	1	6.88566	1	10.4393	0	8.74475	1	
	USP9X	Probable ubiquitin carboxyl-terminal hydrolase FAF-X	9	9	Q93008;O00507	Q93008	9;3	9;3	9;3	292.28	3.8	0.141485881240195	0.07276625097449	7.52446	1	11.245	0	8.05311	1	11.9389	0	11.6249	0	11.7226	0	
	HNRNPA1;HNRNPA1L2	Heterogeneous nuclear ribonucleoprotein A1;Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed;Heterogeneous nuclear ribonucleoprotein A1-like 2	6	6	P09651;Q32P51	P09651;Q32P51	6;4	6;4	6;4	38.746	14	0.304665912827807	0.20642581123033	6.2465	1	7.18642	1	8.26619	1	10.9022	0	7.94977	1	7.99121	1	
	IQGAP2	Ras GTPase-activating-like protein IQGAP2	2	1	Q13576	Q13576	2	1	1	180.58	1.1	0.278201094333914	0.287510692034235	7.67043	1	6.65863	1	7.17664	1	7.24746	1	7.84723	1	11.9484	0	
	TRAFD1	TRAF-type zinc finger domain-containing protein 1	5	5	O14545	O14545	5	5	5	64.84	9.8	0.323018791336713	0.249930926999101	10.4065	0	7.50067	1	6.82937	1	10.8636	0	9.63341	0	9.13044	0	
	NXF1	Nuclear RNA export factor 1	1	1	Q9UBU9	Q9UBU9	1	1	1	70.182	1.6	0.38857096277512	0.144979300491434	7.57071	1	6.79188	1	7.05251	1	8.33554	1	7.3485	1	9.8223	0	
	MARCKS	Myristoylated alanine-rich C-kinase substrate	5	5	P29966	P29966	5	5	5	31.554	29.8	0.391525994406064	0.251736969674178	7.52807	1	7.87832	1	7.75005	1	10.9617	0	8.72145	1	7.53179	1	
	BLM	Bloom syndrome protein	2	2	P54132	P54132	2	2	2	159	1.2	0.176693392987843	0.062508632794232	8.14997	1	7.3624	1	7.38073	1	11.0672	0	11.0782	0	8.24982	1	
	HPRT1	Hypoxanthine-guanine phosphoribosyltransferase	4	4	P00492	P00492	4	4	4	24.579	21.6	0.483782336236332	0.273836288585432	6.84585	1	7.74402	1	8.22596	1	7.27357	1	8.97811	1	9.70686	0	
	RAB5C	Ras-related protein Rab-5C	5	5	P51148;P61020;P20339	P51148	5;1;1	5;1;1	5;1;1	23.482	31.5	0.296832301355144	0.052623532748989	6.57511	1	6.56503	1	7.94731	1	9.42021	0	7.91371	1	9.01036	0	
