leading	Gene names	Protein names	Peptides	Unique peptides	Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Mol. weight [kDa]	Sequence coverage [%]	Fold Change RNAi/CONTROL	p-value	LFQ intensity RNAi_1	imputed (0=no/1=yes)	LFQ intensity RNAi_2	imputed (0=no/1=yes)	LFQ intensity RNAi_3	imputed (0=no/1=yes)	LFQ intensity CONTROL_1	imputed (0=no/1=yes)	LFQ intensity CONTROL_2	imputed (0=no/1=yes)	LFQ intensity CONTROL_3	imputed (0=no/1=yes)	GlyGly (K) site positions
	RAB24	Ras-related protein Rab-24	3	3	Q969Q5	Q969Q5	3	3	3	23.124	19.7	0.258466641677964	4.11E-03	19.131	1	19.1738	1	20.1346	1	21.3771	0	21.401	0	21.5171	0	
	NMT1	Glycylpeptide N-tetradecanoyltransferase 1	3	3	P30419	P30419	3	3	3	56.806	7.3	0.284616262001274	3.20E-02	19.2681	1	20.0584	1	18.1434	1	21.1269	0	20.849	0	20.9326	0	
	EFTUD1	Elongation factor Tu GTP-binding domain-containing protein 1	3	3	Q7Z2Z2	Q7Z2Z2	3	3	3	125.43	5.4	0.331221906797549	4.20E-03	19.4203	1	18.9303	1	19.6885	1	20.7933	0	21.2529	0	20.7752	0	
	MEN1	Menin	2	2	O00255	O00255	2	2	2	68.023	3.9	0.003717581278505	1.10E-05	20.3726	1	20.2039	1	19.4734	1	28.17	0	27.8687	0	28.2255	0	
	DAG1	Dystroglycan;Alpha-dystroglycan;Beta-dystroglycan	2	2	Q14118	Q14118	2	2	2	97.44	2.8	0.010807899688804	8.48E-04	18.962	1	19.2765	1	21.2379	1	26.137	0	26.632	0	26.3028	0	
	SNRPN;SNRPB	Small nuclear ribonucleoprotein-associated protein N;Small nuclear ribonucleoprotein-associated proteins B and B	2	2	P63162;P14678	P63162;P14678	2;2	2;2	2;2	24.614	12.1	0.20379350811573	1.43E-02	20.84	1	18.9508	1	19.6651	1	22.1807	0	22.0145	0	22.1452	0	
	MGRN1	E3 ubiquitin-protein ligase MGRN1	2	2	O60291	O60291	2	2	2	60.752	5.8	0.332088576130549	3.37E-03	19.9705	1	19.5609	1	20.1878	1	21.6647	0	21.1431	0	21.6824	0	
	ESD	S-formylglutathione hydrolase	2	2	P10768	P10768	2	2	2	31.462	12.8	0.307713575919122	7.66E-04	20.0547	1	19.5931	1	19.6214	1	21.6383	0	21.2649	0	21.467	0	
	RPS5	40S ribosomal protein S5;40S ribosomal protein S5, N-terminally processed	2	2	P46782	P46782	2	2	2	22.876	13.2	0.337619467758129	3.96E-02	19.2496	1	20.0688	1	19.201	1	20.3661	0	21.8741	0	20.9788	0	
	DNAJC5	DnaJ homolog subfamily C member 5	2	2	Q9H3Z4	Q9H3Z4	2	2	2	22.149	20.2	0.352792060776224	3.52E-03	19.2449	1	20.0637	1	19.811	1	21.1526	0	21.2502	0	21.226	0	
	UCKL1	Uridine-cytidine kinase-like 1	2	2	Q9NWZ5	Q9NWZ5	2	2	2	61.14	3.3	0.491526123605821	3.33E-02	19.1673	1	19.9369	0	18.9057	1	20.4396	0	20.1882	1	20.456	0	
	DYNLT1	Dynein light chain Tctex-type 1	1	1	P63172	P63172	1	1	1	12.452	19.5	0.117768858147199	3.79E-02	18.5002	1	19.0092	1	19.9502	1	23.1976	0	20.405	1	23.115	0	
	EIF4A2	Eukaryotic initiation factor 4A-II;Eukaryotic initiation factor 4A-II, N-terminally processed	12	2	Q14240	Q14240	12	2	2	46.402	32.7	0.337502478040984	3.98E-02	20.6975	1	19.6128	1	19.7757	1	22.3148	0	21.5293	0	20.9429	1	
	PEPD	Xaa-Pro dipeptidase	3	3	P12955	P12955	3	3	3	54.548	6.9	0.329401721517124	1.04E-02	20.397	1	19.3844	1	20.381	1	21.5428	0	21.8707	0	21.555	1	
	EPN2	Epsin-2	2	2	O95208	O95208	2	2	2	68.481	3.4	0.252621616668044	3.39E-03	19.1908	1	19.4705	1	19.045	1	21.7964	0	20.8358	0	21.0289	1	
	MCM5	DNA replication licensing factor MCM5	2	2	P33992	P33992	2	2	2	82.285	2.7	0.317014338547598	4.01E-03	19.6897	1	19.4145	1	19.6688	1	21.7136	0	21.233	1	20.7985	0	
	CNDP2	Cytosolic non-specific dipeptidase	2	2	Q96KP4	Q96KP4	2	2	2	52.878	4	0.369209095638442	1.46E-02	19.9568	1	19.2641	1	20.3014	1	21.6056	0	21.1854	0	21.0437	1	
	ODF2L	Outer dense fiber protein 2-like	4	4	Q9ULJ1	Q9ULJ1	4	4	4	73.728	6	0.385117343364034	2.01E-02	19.5087	1	20.111	1	19.2256	1	21.2526	0	20.473	1	21.2496	0	
	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit;Serine/threonine-protein phosphatase 6 catalytic subunit, N-terminally processed	2	2	O00743	O00743	2	2	2	35.144	5.9	0.421554188848434	1.99E-02	19.364	1	19.6057	1	19.9705	1	21.2314	0	21.1138	0	20.3337	1	
	LRRC8A	Volume-regulated anion channel subunit LRRC8A	2	2	Q8IWT6	Q8IWT6	2	2	2	94.198	2.2	0.408645003525295	9.38E-03	19.7396	1	19.0341	1	18.9217	1	20.6497	0	20.5964	1	20.3225	0	
	DNAH6	Dynein heavy chain 6, axonemal	1	1	Q9C0G6	Q9C0G6	1	1	1	475.98	0.3	0.301284842801633	4.72E-02	19.4879	1	18.6069	1	19.8542	1	20.5658	1	22.0187	0	20.5569	1	
	DTYMK	Thymidylate kinase	4	4	P23919	P23919	4	4	4	23.819	18.4	0.461118674924446	4.30E-02	20.2079	1	19.8891	1	19.5479	1	20.7696	1	21.6506	0	20.575	1	
	ARFIP2	Arfaptin-2	1	1	P53365	P53365	1	1	1	37.855	3.2	0.329404004763782	7.58E-03	18.8686	1	18.2211	1	19.0333	1	20.6358	0	19.9322	1	20.3613	1	
	ERI1	3-5 exoribonuclease 1	1	1	Q8IV48	Q8IV48	1	1	1	40.063	4.3	0.490937065951191	1.34E-02	19.8089	1	19.9458	1	19.3296	1	20.4106	1	20.8857	0	20.8672	1	
	WDR3	WD repeat-containing protein 3	3	3	Q9UNX4	Q9UNX4	3	3	3	106.1	3.1	0.393133170228577	5.86E-03	19.0047	1	19.1389	1	19.6816	1	20.8697	0	20.3752	1	20.6209	1	
	SPAG7	Sperm-associated antigen 7	1	1	O75391	O75391	1	1	1	26.034	5.7	0.413488754900731	6.49E-03	19.4444	1	19.4409	0	18.8705	1	20.8208	1	20.3051	1	20.4521	1	
	COL6A1	Collagen alpha-1(VI) chain	2	2	P12109	P12109	2	2	2	108.53	2.2	0.382128561913551	4.49E-03	19.2937	1	19.0802	0	19.5358	1	20.9013	1	20.884	1	20.2881	1	
	HIF1A	Hypoxia-inducible factor 1-alpha	1	1	Q16665	Q16665	1	1	1	92.669	1.1	0.49082138042488	4.22E-02	19.5849	1	20.3459	1	19.1605	0	20.7092	1	20.7932	1	20.6691	1	
	SIMC1	SUMO-interacting motif-containing protein 1	4	4	Q8NDZ2	Q8NDZ2	4	4	4	96.837	4.9	3.68437523471494	5.90E-03	21.3584	0	21.1844	0	20.5902	1	18.9753	1	18.8289	1	19.6844	1	
	AFF4	AF4/FMR2 family member 4	2	2	Q9UHB7	Q9UHB7	2	2	2	127.46	1.8	3.64755567728008	4.03E-02	20.5012	1	21.2221	1	22.5809	0	19.8272	1	19.3746	1	19.5016	1	
	FUS	RNA-binding protein FUS	2	1	P35637	P35637	2	2	1	53.425	3	3.64010483340577	4.06E-02	22.2351	0	20.1583	1	20.7689	1	19.1246	1	19.0519	1	19.3939	1	
	VANGL1	Vang-like protein 1	2	2	Q8TAA9	Q8TAA9	2	2	2	59.974	5.3	2.61284220514333	1.74E-02	20.2418	1	20.8567	0	20.5328	1	18.5459	1	19.4867	1	19.4419	1	
	BLVRA	Biliverdin reductase A	1	1	P53004	P53004	1	1	1	33.428	3.4	2.23203554165629	3.07E-02	20.242	1	20.4126	1	20.9496	0	19.1189	1	19.0696	1	19.9406	1	
	MAP1S	Microtubule-associated protein 1S;MAP1S heavy chain;MAP1S light chain	2	2	Q66K74	Q66K74	2	2	2	112.21	2.7	3.9958986727401	3.03E-02	22.1168	0	20.6722	1	20.8039	1	19.9816	1	18.9188	1	18.6969	1	
	MARC1	Mitochondrial amidoxime-reducing component 1	1	1	Q5VT66	Q5VT66	1	1	1	37.499	7.4	2.02562904994379	1.98E-02	19.9601	1	19.9317	0	20.4765	1	18.8183	1	18.9935	1	19.5015	1	
	C9orf40	Uncharacterized protein C9orf40	1	1	Q8IXQ3	Q8IXQ3	1	1	1	21.063	13.9	3.38991711676362	2.55E-02	19.8114	1	21.147	1	21.2456	0	19.0495	1	19.288	1	18.5828	1	
	AAMDC	Mth938 domain-containing protein	1	1	Q9H7C9	Q9H7C9	1	1	1	13.332	7.4	2.22894342715673	1.24E-02	20.5483	1	20.3659	1	20.7738	0	19.0899	1	19.8777	1	19.2513	1	
	EEF1E1	Eukaryotic translation elongation factor 1 epsilon-1	1	1	O43324	O43324	1	1	1	19.81	6.3	2.77981717139355	1.24E-02	20.5953	1	20.7204	1	20.1712	0	19.3713	1	18.4291	1	19.2615	1	
	TTC39C	Tetratricopeptide repeat protein 39C	1	1	Q8N584	Q8N584	1	1	1	65.869	1.9	2.18561607550666	1.90E-02	20.313	0	20.2381	1	20.1291	1	19.4975	1	18.5309	1	19.2677	1	
	CCT8	T-complex protein 1 subunit theta	47	47	P50990	P50990	47	47	47	59.62	63.7	0.735783383085096	1.62E-02	30.8987	0	31.1405	0	31.153	0	31.3805	0	31.6353	0	31.5044	0	
	CLTC	Clathrin heavy chain 1	77	77	Q00610;P53675	Q00610	77;16	77;16	77;16	191.61	49.7	0.785613703506486	9.86E-03	29.6401	0	29.467	0	29.5531	0	30.0024	0	29.8076	0	29.8944	0	507
	PC	Pyruvate carboxylase, mitochondrial	55	55	P11498	P11498	55	55	55	129.63	57	0.830921446894842	1.75E-02	29.4537	0	29.2993	0	29.2658	0	29.6193	0	29.6632	0	29.5381	0	
	EZR	Ezrin	34	25	P15311	P15311	34	34	25	69.412	50	1.39765859720011	6.65E-03	29.0053	0	29.203	0	28.9076	0	28.5257	0	28.6241	0	28.5171	0	
	MCM7	DNA replication licensing factor MCM7	33	33	P33993	P33993	33	33	33	81.307	53.3	0.667738902836359	4.58E-02	27.5073	0	27.9452	0	28.1286	0	28.608	0	28.4049	0	28.316	0	
	HNRNPC;HNRNPCL1	Heterogeneous nuclear ribonucleoproteins C1/C2;Heterogeneous nuclear ribonucleoprotein C-like 1	13	13	P07910;O60812	P07910;O60812	13;7	13;7	13;7	33.67	34	1.32816004152478	4.40E-02	28.2662	0	28.3493	0	28.5307	0	27.9039	0	28.2015	0	27.8124	0	
	IQGAP1	Ras GTPase-activating-like protein IQGAP1	56	53	P46940	P46940	56	56	53	189.25	44.4	0.852086618757243	3.27E-02	27.9502	0	28.0199	0	27.9148	0	28.2074	0	28.2971	0	28.0732	0	
	RPA1	Replication protein A 70 kDa DNA-binding subunit;Replication protein A 70 kDa DNA-binding subunit, N-terminally processed	24	24	P27694	P27694	24	24	24	68.137	49.5	1.19740151441103	4.01E-02	28.1099	0	27.8508	0	28.0067	0	27.6818	0	27.6906	0	27.8154	0	
	FAF1	FAS-associated factor 1	28	28	Q9UNN5	Q9UNN5	28	28	28	73.953	36.6	1.3108567164468	1.67E-03	27.9401	0	27.932	0	28.0088	0	27.5857	0	27.4836	0	27.64	0	
	RPS7	40S ribosomal protein S7	11	11	P62081	P62081	11	11	11	22.127	58.8	1.93466395959633	1.38E-02	28.0068	0	28.5519	0	28.3419	0	27.1891	0	27.1825	0	27.6728	0	
	YWHAZ	14-3-3 protein zeta/delta	14	11	P63104	P63104	14	11	11	27.745	55.9	0.804789841566525	3.74E-02	27.2755	0	27.5891	0	27.434	0	27.6521	0	27.7853	0	27.8013	0	
	HSP90B1	Endoplasmin	26	24	P14625;Q58FF3	P14625	26;3	24;3	24;3	92.468	32.8	1.24786771163655	4.80E-03	27.7162	0	27.5979	0	27.5264	0	27.2896	0	27.3151	0	27.2775	0	
	TPM3	Tropomyosin alpha-3 chain	17	9	P06753	P06753	17	17	9	32.95	42.1	0.828609347217937	4.58E-02	27.2087	0	27.1911	0	26.9518	0	27.3377	0	27.3476	0	27.4801	0	
	MSN	Moesin	31	23	P26038	P26038	31	23	23	67.819	44	1.47360207701968	1.55E-02	27.4277	0	27.2996	0	27.2822	0	26.9632	0	26.5262	0	26.8419	0	
	P4HB	Protein disulfide-isomerase	27	27	P07237	P07237	27	27	27	57.116	54.1	0.829826134961112	1.98E-02	27.0154	0	26.7745	0	26.8809	0	27.1811	0	27.1272	0	27.1699	0	
	HNRNPA2B1	Heterogeneous nuclear ribonucleoproteins A2/B1	12	12	P22626	P22626	12	12	12	37.429	39.9	1.34131213128499	3.48E-02	27.2883	0	27.5287	0	27.1252	0	26.7572	0	26.9516	0	26.9625	0	
	NSFL1C	NSFL1 cofactor p47	18	18	Q9UNZ2	Q9UNZ2	18	18	18	40.572	54.6	1.86833090863791	1.50E-02	27.2552	0	27.4123	0	27.5151	0	26.6248	0	26.7665	0	26.0861	0	
	SMC1A	Structural maintenance of chromosomes protein 1A	41	41	Q14683	Q14683	41	41	41	143.23	34	0.785764012558649	1.22E-03	26.9195	0	26.8184	0	26.8642	0	27.2571	0	27.2335	0	27.1549	0	373
	EPRS	Bifunctional glutamate/proline--tRNA ligase;Glutamate--tRNA ligase;Proline--tRNA ligase	41	41	P07814	P07814	41	41	41	170.59	31.9	0.792657208555647	4.78E-03	26.9435	0	26.9297	0	26.8663	0	27.333	0	27.2645	0	27.1475	0	
	RDX	Radixin	30	21	P35241	P35241	30	21	21	68.563	46	1.41786089690119	4.87E-02	27.3652	0	27.302	0	26.9124	0	26.7932	0	26.4683	0	26.807	0	209
	CAND1	Cullin-associated NEDD8-dissociated protein 1	36	34	Q86VP6	Q86VP6	36	36	34	136.37	34.2	0.810706154226331	3.93E-02	26.9804	0	26.9851	0	26.7189	0	27.2806	0	27.1989	0	27.1133	0	
	DIAPH1	Protein diaphanous homolog 1	31	31	O60610	O60610	31	31	31	141.35	30.3	0.741953665782247	4.71E-02	26.3262	0	26.2876	0	26.4303	0	26.7208	0	27.0551	0	26.56	0	
	MAGED2	Melanoma-associated antigen D2	20	19	Q9UNF1;Q12816	Q9UNF1	20;2	19;2	19;2	64.953	31.8	1.37874819777018	8.15E-04	26.6309	0	26.7	0	26.6637	0	26.1677	0	26.1425	0	26.2943	0	
	GCC2	GRIP and coiled-coil domain-containing protein 2	39	36	Q8IWJ2	Q8IWJ2	39	39	36	195.91	29.9	0.680651396727032	2.18E-02	26.0718	0	25.8265	0	26.2131	0	26.5201	0	26.7935	0	26.4629	0	
	AP2A2	AP-2 complex subunit alpha-2	22	15	O94973	O94973	22	22	15	103.96	35	1.15306512615187	4.70E-02	26.1788	0	26.2343	0	26.0029	0	25.9388	0	25.9637	0	25.897	0	
	TMPO	Lamina-associated polypeptide 2, isoforms beta/gamma;Thymopoietin;Thymopentin	15	6	P42167	P42167	15	15	6	50.67	43	1.44514674879631	9.38E-03	26.4707	0	26.2552	0	26.3778	0	25.7223	0	26.0242	0	25.7635	0	
	UBXN7	UBX domain-containing protein 7	15	15	O94888	O94888	15	15	15	54.862	29.2	1.56710190720368	5.62E-03	26.6169	0	26.4003	0	26.233	0	25.7688	0	25.8449	0	25.6923	0	
	SMC3	Structural maintenance of chromosomes protein 3	31	31	Q9UQE7	Q9UQE7	31	31	31	141.54	27	0.804967811502888	5.40E-03	25.9287	0	26.0482	0	25.9069	0	26.3449	0	26.255	0	26.2229	0	
	GFPT1	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1	20	20	Q06210;O94808	Q06210	20;5	20;5	20;5	78.806	34	1.43020504748628	1.88E-03	26.1452	0	26.1799	0	26.1782	0	25.5262	0	25.6609	0	25.7676	0	
	STX12	Syntaxin-12	9	9	Q86Y82	Q86Y82	9	9	9	31.642	38.8	1.381958219845	4.21E-02	26.3816	0	25.8452	0	26.0666	0	25.5759	0	25.6758	0	25.6415	0	
	CALU	Calumenin	6	6	O43852	O43852	6	6	6	37.106	23.5	1.33638898812939	4.95E-02	25.6535	0	25.9001	0	25.8981	0	25.2106	0	25.3483	0	25.6378	0	
	RPS4X	40S ribosomal protein S4, X isoform	13	13	P62701;Q8TD47;P22090	P62701	13;5;5	13;5;5	13;5;5	29.597	46	1.85830073917286	8.70E-03	26.0305	0	26.3358	0	25.8338	0	25.2941	0	25.2835	0	24.9406	0	
	NPLOC4	Nuclear protein localization protein 4 homolog	13	13	Q8TAT6	Q8TAT6	13	13	13	68.119	27.1	1.30939375201342	3.29E-03	25.5886	0	25.7297	0	25.5935	0	25.2657	0	25.1698	0	25.3096	0	
	TOMM70A	Mitochondrial import receptor subunit TOM70	12	12	O94826	O94826	12	12	12	67.454	19.7	1.41902892785224	1.46E-04	25.5567	0	25.6272	0	25.6342	0	25.1261	0	25.1279	0	25.0495	0	
	PCM1	Pericentriolar material 1 protein	19	19	Q15154	Q15154	19	19	19	228.53	10.7	0.66265276937687	3.49E-02	25.1847	0	24.6545	0	25.1805	0	25.738	0	25.5457	0	25.517	0	
	ILF3	Interleukin enhancer-binding factor 3	16	16	Q12906;Q96SI9	Q12906	16;2	16;2	16;2	95.337	19.4	0.734251900568441	4.27E-02	24.8667	0	24.5033	0	24.4815	0	25.2305	0	24.9419	0	25.016	0	
	MCCC1	Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial	15	15	Q96RQ3	Q96RQ3	15	15	15	80.472	28	1.2991364798149	4.11E-02	25.1665	0	25.5093	0	25.3967	0	25.1315	0	24.9309	0	24.8775	0	
	INTS3	Integrator complex subunit 3	15	15	Q68E01	Q68E01	15	15	15	118.07	23.4	1.52452520220455	3.22E-03	25.6968	0	26.0097	0	25.7574	0	25.2113	0	25.2317	0	25.1958	0	
	CSTF3	Cleavage stimulation factor subunit 3	12	12	Q12996	Q12996	12	12	12	82.921	22.9	1.40516446691977	3.34E-02	25.3669	0	25.3735	0	25.7996	0	24.9223	0	25.0256	0	25.1198	0	
	DCTN1	Dynactin subunit 1	20	20	Q14203	Q14203	20	20	20	141.69	22	0.725905171792498	2.83E-02	25.0565	0	24.8293	0	25.2994	0	25.4938	0	25.5682	0	25.5096	0	
	FAM98A	Protein FAM98A	7	5	Q8NCA5	Q8NCA5	7	7	5	55.4	13.1	1.27918063170382	2.63E-02	25.4376	0	25.1983	0	25.2302	0	24.8174	0	24.9208	0	25.0622	0	
	FKBP4	Peptidyl-prolyl cis-trans isomerase FKBP4;Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed	12	12	Q02790	Q02790	12	12	12	51.804	26.6	1.42095611610233	2.36E-02	25.4429	0	25.1357	0	25.4603	0	24.6805	0	24.8262	0	25.0115	0	
	PPA1	Inorganic pyrophosphatase	4	4	Q15181	Q15181	4	4	4	32.66	19.7	0.748791000080386	3.28E-02	24.9185	0	24.5751	0	24.7033	0	25.2839	0	25.1678	0	24.9974	0	
	SMARCE1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1	5	5	Q969G3	Q969G3	5	5	5	46.649	16.8	1.42487266764137	1.29E-02	25.4164	0	25.1466	0	25.5232	0	24.7753	0	24.8599	0	24.9185	0	
	PDE12	2,5-phosphodiesterase 12	9	9	Q6L8Q7	Q6L8Q7	9	9	9	67.351	18.9	1.29657170991176	1.82E-02	25.0777	0	25.2879	0	25.1565	0	24.9062	0	24.654	0	24.8377	0	
	DCAF7	DDB1- and CUL4-associated factor 7	7	7	P61962	P61962	7	7	7	38.926	28.4	1.39648976498649	2.10E-02	25.3709	0	25.1424	0	25.4325	0	24.7861	0	24.6955	0	25.0188	0	
	ABCF2	ATP-binding cassette sub-family F member 2	14	14	Q9UG63	Q9UG63	14	14	14	71.289	21.5	1.17330574014833	5.51E-04	24.7248	0	24.654	0	24.6899	0	24.4581	0	24.4415	0	24.4774	0	
	USP11	Ubiquitin carboxyl-terminal hydrolase 11	11	10	P51784;Q13107	P51784	11;2	10;1	10;1	109.82	14.8	1.59566301086338	4.59E-02	25.3051	0	25.0248	0	24.9875	0	24.8225	0	24.0886	0	24.3839	0	
	CSTF2	Cleavage stimulation factor subunit 2	6	4	P33240	P33240	6	6	4	60.959	18.5	1.67264815105427	3.77E-02	24.7342	0	25.22	0	25.3658	0	24.2461	0	24.662	0	24.1854	0	
	GNAI2	Guanine nucleotide-binding protein G(i) subunit alpha-2	8	5	P04899;P11488;P09471;P19087;A8MTJ3;P38405	P04899	8;2;2;2;2;1	5;0;0;0;0;0	5;0;0;0;0;0	40.45	23.7	1.33415935910477	2.33E-02	24.4165	0	24.6393	0	24.6649	0	24.172	0	24.2981	0	24.0027	0	
	CCDC93	Coiled-coil domain-containing protein 93	12	12	Q567U6	Q567U6	12	12	12	73.197	21.2	1.30570592013952	1.52E-02	24.4598	0	24.4232	0	24.4139	0	24.1261	0	24.1549	0	23.8614	0	
	MCMBP	Mini-chromosome maintenance complex-binding protein	10	10	Q9BTE3	Q9BTE3	10	10	10	72.979	19.5	1.22824213425269	3.59E-02	24.4085	0	24.2907	0	24.338	0	23.8833	0	24.1885	0	24.0756	0	
	CDC73	Parafibromin	12	12	Q6P1J9	Q6P1J9	12	12	12	60.576	25.4	1.38978527453128	3.13E-02	24.3874	0	24.438	0	24.3238	0	24.1771	0	23.6932	0	23.8543	0	
	CCDC47	Coiled-coil domain-containing protein 47	10	10	Q96A33	Q96A33	10	10	10	55.873	24.2	0.578554590978641	3.35E-02	22.9301	0	23.4758	0	22.697	0	23.7331	0	24.0064	0	23.7318	0	
	USP14	Ubiquitin carboxyl-terminal hydrolase 14	8	8	P54578	P54578	8	8	8	56.068	19.8	0.599801069592132	2.60E-02	23.5176	0	23.1052	0	23.4726	0	23.765	0	24.284	0	24.2588	0	
	MORF4L1	Mortality factor 4-like protein 1	5	3	Q9UBU8	Q9UBU8	5	3	3	41.473	18.5	1.64761823680265	3.41E-02	24.0261	0	24.6791	0	24.1827	0	23.6877	0	23.6923	0	23.3467	0	
	GOLGA2	Golgin subfamily A member 2	10	10	Q08379	Q08379	10	10	10	113.08	13.4	0.658392588225681	3.48E-04	23.5109	0	23.4919	0	23.6013	0	24.0559	0	24.1691	0	24.1881	0	
	SNX6	Sorting nexin-6;Sorting nexin-6, N-terminally processed	6	6	Q9UNH7	Q9UNH7	6	6	6	46.648	19.2	1.62230941067888	3.88E-02	23.7213	0	24.1763	0	24.4658	0	23.3142	0	23.575	0	23.3801	0	
	RDH11	Retinol dehydrogenase 11	5	5	Q8TC12	Q8TC12	5	5	5	35.386	22.6	0.719421908731414	3.39E-02	23.2801	0	23.4353	0	23.5387	0	23.9586	0	24.0779	0	23.6428	0	
