Leading	Gene names	Protein names	Total Peptides	Unique peptides	Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Mol. weight [kDa]	Sequence coverage [%]	Fold Change RNAi/CONTROL	p-value	LFQ intensity RNAi_1	Imputed (0=no/1=yes)	LFQ intensity RNAi_2	Imputed (0=no/1=yes)	LFQ intensity RNAi_3	Imputed (0=no/1=yes)	LFQ intensity Control_1	Imputed (0=no/1=yes)	LFQ intensity Control_2	Imputed (0=no/1=yes)	LFQ intensity Control_3	Imputed (0=no/1=yes)	GlyGly (K) site positions
	RNF2	E3 ubiquitin-protein ligase RING2	6	5	Q99496	Q99496	6	6	5	37.655	21.7	2.15609388469649	0.004784648078905	25.4665	0	25.7641	0	25.6831	0	24.5588	0	24.214	0	24.8156	0	
	DNAJC21	DnaJ homolog subfamily C member 21	5	5	Q5F1R6	Q5F1R6	5	5	5	62.027	11.3	2.8776277957157	0.007075383753047	24.9087	0	24.2893	0	25.0293	0	23.4345	0	22.8311	0	23.3869	0	
	UBR7	Putative E3 ubiquitin-protein ligase UBR7	5	5	Q8N806	Q8N806	5	5	5	47.998	10.6	7.2376432614585	0.012563192085812	25.1377	0	24.9535	0	25.3503	0	21.8659	1	21.4357	1	23.5735	0	
	FABP5	Fatty acid-binding protein, epidermal	4	4	Q01469	Q01469	4	4	4	15.164	28.1	2.02387473622101	0.046710014273699	26.3053	0	27.3189	0	26.213	0	25.6132	0	25.5016	0	25.671	0	
	LSR	Lipolysis-stimulated lipoprotein receptor	4	4	Q86X29	Q86X29	4	4	4	71.438	7.9	2.39475821056532	0.000778914879169	25.3091	0	25.1264	0	25.3996	0	24.2313	0	23.9675	0	23.8567	0	
	HMOX1	Heme oxygenase 1	4	4	P09601	P09601	4	4	4	32.818	16.7	3.21999846367121	0.043043740056165	25.5263	0	24.6064	0	24.69	0	23.9614	0	23.5035	0	22.2967	1	
	BTBD2	BTB/POZ domain-containing protein 2	4	3	Q9BX70	Q9BX70	4	4	3	55.931	9.9	2.07475358476106	0.009349104195341	25.6484	0	25.0317	0	25.7276	0	24.4485	0	24.3295	0	24.4709	0	
	ARHGAP17	Rho GTPase-activating protein 17	3	3	Q68EM7;Q17R89	Q68EM7	3;1	3;1	3;1	95.436	3.4	4.92522625294037	0.028370696640641	24.639	0	25.0753	0	23.5992	0	22.7911	0	22.527	0	21.0949	1	
	CORO1C	Coronin-1C	3	3	Q9ULV4	Q9ULV4	3	3	3	53.248	4.4	3.85491754004474	0.023334043330421	24.7529	0	23.9012	0	23.8189	0	21.5811	1	21.955	1	23.0969	0	
	GTF2H1	General transcription factor IIH subunit 1	3	3	P32780	P32780	3	3	3	62.031	6.6	4.1210158144803	0.043316165063841	23.1317	0	23.666	0	23.1141	0	20.0156	1	22.3405	1	21.4267	1	
	SLC20A1	Sodium-dependent phosphate transporter 1	2	2	Q8WUM9	Q8WUM9	2	2	2	73.699	2.7	17.06998635469	0.000137587823307	25.5358	0	25.2572	0	24.8507	0	21.5005	1	21.0655	1	20.7974	1	
	EEA1	Early endosome antigen 1	42	42	Q15075	Q15075	42	42	42	162.46	31.7	0.344448452123278	0.017525079630842	27.3556	0	26.224	0	26.668	0	28.2846	0	28.6635	0	27.9125	0	
	SPTAN1	Spectrin alpha chain, non-erythrocytic 1	42	42	Q13813;REV__Q04637	Q13813	42;1	42;1	42;1	284.54	19	0.426799384286011	0.03583603895401	27.0192	0	26.1897	0	27.4093	0	27.8057	0	28.3683	0	28.1293	0	
	IQGAP1	Ras GTPase-activating-like protein IQGAP1	39	37	P46940;Q86VI3	P46940	39;2	39;2	37;1	189.25	29.2	0.310858514426272	0.049130366061866	27.3556	0	26.9407	0	25.43	0	28.2292	0	28.5311	0	28.023	0	
	SMC2	Structural maintenance of chromosomes protein 2	34	34	O95347	O95347	34	34	34	135.65	29.1	0.1570450091115	0.023262693573253	25.6606	0	26.5515	0	24.0361	0	27.8411	0	28.2542	0	28.1651	0	
	HSPA5	78 kDa glucose-regulated protein	32	31	P11021	P11021	32	31	31	72.332	47.6	0.310802497091362	0.000694928303063	30.3832	0	30.038	0	30.0692	0	31.6836	0	32.1275	0	31.7371	0	523;651
	GCN1L1	Translational activator GCN1	31	31	Q92616	Q92616	31	31	31	292.75	13.2	0.416639058903507	0.028306749393026	25.8605	0	24.816	0	25.4361	0	26.8134	0	26.8963	0	26.1923	0	
	FLNB	Filamin-B	31	28	O75369	O75369	31	29	28	278.16	14.5	0.394254738551987	0.006564323868634	26.0477	0	25.5092	0	25.6514	0	26.9232	0	27.4805	0	26.833	0	
	UBE2O	E2/E3 hybrid ubiquitin-protein ligase UBE2O	27	27	Q9C0C9	Q9C0C9	27	27	27	141.29	26.3	0.470005648424904	0.016153253176504	28.7988	0	28.4597	0	28.0884	0	29.2086	0	29.8252	0	29.5808	0	
	SMC1A	Structural maintenance of chromosomes protein 1A	26	26	Q14683	Q14683	26	26	26	143.23	23.1	0.266317659165655	0.017694976899108	26.6399	0	25.2842	0	25.4367	0	27.5921	0	28.1511	0	27.3439	0	
	RAI14	Ankycorbin	26	26	Q9P0K7	Q9P0K7	26	26	26	110.04	30.4	0.442625968358534	0.003368216507606	26.0677	0	25.9083	0	25.5225	0	26.9809	0	27.1884	0	26.8569	0	
	HSPA8	Heat shock cognate 71 kDa protein	40	25	P11142	P11142	40	40	25	70.897	63.3	0.470266347171306	0.007966911631055	33.1363	0	33.1414	0	33.552	0	34.0468	0	34.4043	0	34.6439	0	108;319;451;507;512;524
	XPO1	Exportin-1	24	24	O14980	O14980	24	24	24	123.38	27	0.375251566617295	0.000799134720248	26.0014	0	26.3565	0	26.0663	0	27.3435	0	27.7119	0	27.611	0	
	HSPH1	Heat shock protein 105 kDa	27	23	Q92598	Q92598	27	25	23	96.864	30.8	0.478658953211494	0.015955484632241	28.5936	0	28.467	0	27.878	0	29.1655	0	29.6583	0	29.3037	0	
	SMC4	Structural maintenance of chromosomes protein 4	23	23	Q9NTJ3	Q9NTJ3	23	23	23	147.18	19.4	0.285727143301064	0.048308104823194	26.373	0	24.5562	0	25.4479	0	27.2961	0	27.8955	0	26.6072	0	
	POLR2A	DNA-directed RNA polymerase II subunit RPB1	23	23	P24928	P24928	23	23	23	217.17	16.8	0.043465664173812	0.044490777977243	25.5954	0	21.1104	1	20.7712	1	27.1397	0	27.2397	0	26.6695	0	
	ATP1A1	Sodium/potassium-transporting ATPase subunit alpha-1	25	21	P05023;P13637;P50993;P20648	P05023	25;12;10;2	25;12;10;2	21;8;6;1	112.89	29.2	0.483869530507312	0.00257389010325	28.0177	0	28.2654	0	27.834	0	29.2705	0	28.9649	0	29.0236	0	
	CCT6A	T-complex protein 1 subunit zeta	20	20	P40227;Q92526	P40227	20;5	20;5	20;5	58.024	39.9	0.324670902723528	0.00083341248087	27.5203	0	27.7452	0	28.0736	0	29.5632	0	29.335	0	29.3097	0	
	SPAG9	C-Jun-amino-terminal kinase-interacting protein 4	19	19	O60271;Q9UPT6	O60271	19;2	19;2	19;2	146.2	21	0.346147779843902	0.022870728585089	25.9748	0	24.7405	0	25.6529	0	26.7612	0	27.409	0	26.7897	0	
	AKAP9	A-kinase anchor protein 9	19	19	Q99996	Q99996	19	19	19	452.98	5.2	0.154305351250448	0.044324107550262	23.8339	0	20.7834	1	21.872	1	24.3791	0	25.2956	0	24.903	0	
	RPS27A;UBA52;UBB;UBC	Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S ribosomal protein S27a;Ubiquitin-60S ribosomal protein L40;Ubiquitin;60S ribosomal protein L40;Polyubiquitin-B;Ubiquitin;Polyubiquitin-C;Ubiquitin	18	18	P62979;P62987;P0CG47;P0CG48	P62979;P62987;P0CG47;P0CG48	18;16;16;16	18;16;16;16	18;16;16;16	17.965	53.8	0.441305612298806	0.007733569628247	37.0846	0	37.2288	0	36.6439	0	38.487	0	38.0103	0	38.0005	0	6;11;27;29;33;48;63;113
	UPF1	Regulator of nonsense transcripts 1	18	18	Q92900	Q92900	18	18	18	124.34	17.4	0.236093462734591	0.002880580391091	24.9712	0	25.2781	0	24.4647	0	26.9497	0	27.377	0	26.6351	0	
	USP9X	Probable ubiquitin carboxyl-terminal hydrolase FAF-X	18	18	Q93008;O00507	Q93008	18;5	18;5	18;5	292.28	8.7	0.132011910067422	0.018539157755036	25.8259	0	23.7735	0	24.1123	0	27.9547	0	27.8683	0	26.6525	0	
	HOOK1	Protein Hook homolog 1	19	18	Q9UJC3	Q9UJC3	19	19	18	84.647	29.7	0.432505384833819	0.010975896421856	25.8824	0	25.3794	0	25.3644	0	27.1421	0	26.4257	0	26.6861	0	
	LDHB	L-lactate dehydrogenase B chain	18	17	P07195	P07195	18	18	17	36.638	46.1	0.487471574559451	0.014753667784066	30.3081	0	31.0156	0	31.0232	0	31.991	0	31.7208	0	31.7449	0	308
	IRS4	Insulin receptor substrate 4	17	17	O14654	O14654	17	17	17	133.77	18.6	0.331897576482028	0.020319358838273	26.4087	0	24.9671	0	25.7698	0	27.3272	0	27.1404	0	27.4515	0	
	HSP90AB1	Heat shock protein HSP 90-beta	35	16	P08238;Q58FF7	P08238	35;16	35;16	16;5	83.263	43	0.401004407844932	0.002901616418565	31.9377	0	31.7077	0	31.4828	0	32.7902	0	33.3186	0	32.9743	0	
	PSAT1	Phosphoserine aminotransferase	16	16	Q9Y617	Q9Y617	16	16	16	40.422	45.9	0.443243076077362	0.007450407034539	29.1631	0	29.1369	0	28.5687	0	30.2782	0	30.2447	0	29.8674	0	16
	HNRNPU	Heterogeneous nuclear ribonucleoprotein U	16	16	Q00839	Q00839	16	16	16	90.583	22.5	0.425443660392695	0.008616482295615	27.6346	0	27.2045	0	27.8761	0	28.5319	0	29.1023	0	28.78	0	
	DHX9	ATP-dependent RNA helicase A	16	16	Q08211	Q08211	16	16	16	140.96	14.7	0.172479881842921	0.02773192391482	24.7425	0	24.298	0	22.4064	1	26.7682	0	26.0133	0	26.2718	0	
	SUPT16H	FACT complex subunit SPT16	15	15	Q9Y5B9	Q9Y5B9	15	15	15	119.91	14.5	0.480790401671907	0.015155490616607	25.0952	0	24.9279	0	25.445	0	25.8452	0	26.2208	0	26.5717	0	
	HSP90AA1	Heat shock protein HSP 90-alpha	28	14	P07900;Q14568;Q58FG0;Q58FG1	P07900	28;5;4;1	14;2;1;1	14;2;1;1	84.659	30.3	0.44227021766577	0.022049055975575	30.4049	0	29.5671	0	29.3904	0	30.9309	0	30.8403	0	31.1223	0	
	ANKRD13A	Ankyrin repeat domain-containing protein 13A	13	13	Q8IZ07	Q8IZ07	13	13	13	67.618	26.8	0.324243599190734	0.002258863562946	25.8625	0	25.2818	0	25.0941	0	26.9687	0	27.0861	0	27.0581	0	
	USP25	Ubiquitin carboxyl-terminal hydrolase 25	13	13	Q9UHP3	Q9UHP3	13	13	13	122.22	15.1	0.45362120900418	0.00823493167137	24.9598	0	25.2013	0	24.6959	0	26.4401	0	25.8175	0	26.0208	0	
	NEFM	Neurofilament medium polypeptide	15	13	P07197	P07197	15	14	13	102.47	16.2	0.037476758896888	6.75102941090855E-06	21.1507	1	21.0003	1	20.9451	1	25.5909	0	25.6688	0	26.05	0	
	SPTBN2	Spectrin beta chain, non-erythrocytic 2	15	13	O15020	O15020	15	13	13	271.32	7.3	0.057853177114219	0.000586394650885	22.1484	1	21.5731	1	22.165	1	26.0106	0	26.7391	0	25.4713	0	
	COPE	Coatomer subunit epsilon	12	12	O14579	O14579	12	12	12	34.482	55.2	0.388336710339238	0.014415177685762	26.4782	0	25.6256	0	26.603	0	27.7507	0	27.3622	0	27.6877	0	
	TRIM25	E3 ubiquitin/ISG15 ligase TRIM25	12	12	Q14258	Q14258	12	12	12	70.973	19.2	0.460218218092814	0.03071708503573	26.2994	0	26.1616	0	27.043	0	27.2355	0	27.9358	0	27.6915	0	
	MGEA5	Protein O-GlcNAcase	12	12	O60502	O60502	12	12	12	102.91	22.7	0.420191825236603	0.002205413354289	25.8584	0	25.5046	0	25.4101	0	26.6455	0	26.8335	0	27.0467	0	
	PEX5	Peroxisomal targeting signal 1 receptor	12	12	P50542	P50542	12	12	12	70.864	29.4	0.088392636381741	0.005836197765753	20.7409	1	22.244	1	20.0899	1	24.3616	0	24.7999	0	24.4131	0	
	GFPT1	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1	13	11	Q06210	Q06210	13	13	11	78.806	20.9	0.099927806712779	0.009579216745595	24.0371	0	23.9965	0	21.8897	1	26.6752	0	26.7285	0	26.4886	0	
	SEC31A	Protein transport protein Sec31A	10	10	O94979	O94979	10	10	10	133.01	7.5	0.424530467130493	0.008946640776512	25.4349	0	25.3356	0	24.6172	0	26.3119	0	26.432	0	26.3518	0	
	TCERG1	Transcription elongation regulator 1	10	10	O14776	O14776	10	10	10	123.9	9.6	0.034976748736325	2.63681706074425E-05	20.8228	1	20.9892	1	21.556	1	25.9407	0	25.9827	0	25.957	0	
	GNL3	Guanine nucleotide-binding protein-like 3	10	10	Q9BVP2	Q9BVP2	10	10	10	61.992	20.8	0.080767013249204	0.000103901065202	21.9255	1	21.3398	1	21.5565	1	25.1386	0	25.5547	0	25.0188	0	
	XAB2	Pre-mRNA-splicing factor SYF1	10	10	Q9HCS7	Q9HCS7	10	10	10	100.01	14.3	0.15192382088944	0.002656195276137	21.2297	1	21.614	1	22.5578	1	24.5849	0	24.6628	0	24.3096	0	
	FANCI	Fanconi anemia group I protein	10	10	Q9NVI1	Q9NVI1	10	10	10	149.32	8.1	0.119114421515078	0.008545156086761	19.8912	1	21.992	1	21.4732	1	24.036	0	24.3243	0	24.2049	0	
	SNX1	Sorting nexin-1	11	9	Q13596	Q13596	11	9	9	59.069	23.6	0.045735873015225	0.000601727694025	21.8958	1	20.5964	1	20.9287	1	25.1595	0	25.9489	0	25.6642	0	
	USP24	Ubiquitin carboxyl-terminal hydrolase 24	9	9	Q9UPU5	Q9UPU5	9	9	9	294.36	3.9	0.085705404952266	0.001965350438626	22.256	1	21.2553	1	21.8606	1	25.0272	0	26.122	0	24.8562	0	
	UFD1L	Ubiquitin fusion degradation protein 1 homolog	8	8	Q92890	Q92890	8	8	8	34.5	32.9	0.063971804977621	0.026220441495802	21.9478	1	24.854	0	21.0448	1	26.7231	0	26.4433	0	26.5795	0	
	LARP4	La-related protein 4	8	8	Q71RC2	Q71RC2	8	8	8	80.595	15.3	0.159533355309147	0.03753271663658	21.0836	1	24.0409	0	22.1995	1	25.2112	0	25.044	0	25.0131	0	
	USP11	Ubiquitin carboxyl-terminal hydrolase 11	8	8	P51784	P51784	8	8	8	109.82	9	0.132833413565148	0.00013073443671	21.4026	1	21.9463	1	21.7964	1	24.4162	0	24.8241	0	24.642	0	
	SEC23IP	SEC23-interacting protein	8	8	Q9Y6Y8	Q9Y6Y8	8	8	8	111.08	8.4	0.092046074096544	9.25038908096852E-06	21.0799	1	20.9253	1	20.9359	1	24.4154	0	24.6169	0	24.2332	0	
	SF3B3	Splicing factor 3B subunit 3	8	8	Q15393	Q15393	8	8	8	135.58	8.6	0.094597115295363	0.001607015257096	20.4897	1	21.3446	1	22.0346	1	24.6734	0	24.7419	0	24.6598	0	
	XPOT	Exportin-T	8	8	O43592	O43592	8	8	8	109.96	10.3	0.079437278082058	0.000151425842967	20.5644	1	21.162	1	21.3881	1	24.5687	0	24.864	0	24.6439	0	
	EXOC2	Exocyst complex component 2	8	8	Q96KP1	Q96KP1	8	8	8	104.07	8.9	0.108492709144572	0.007897506645095	21.15	1	22.1571	1	19.9553	1	24.5331	0	24.2765	0	24.0659	0	
	PARG	Poly(ADP-ribose) glycohydrolase	8	8	Q86W56	Q86W56	8	8	8	111.11	10.1	0.214113846305942	0.003595340277128	20.7186	1	20.5929	1	21.6475	1	22.9608	0	23.4639	0	23.205	0	
	BSG	Basigin	7	7	P35613	P35613	7	7	7	42.2	25.5	0.393043255793404	0.039710010326389	26.4197	0	26.972	0	25.725	0	27.192	0	27.9242	0	28.0422	0	
	TRIM27	Zinc finger protein RFP	7	7	P14373	P14373	7	7	7	58.489	17.9	0.076289060167374	0.02478905665212	21.8534	1	24.7869	0	21.4565	1	26.3568	0	26.6722	0	26.2049	0	
	CNOT4	CCR4-NOT transcription complex subunit 4	7	7	O95628	O95628	7	7	7	63.509	23.3	0.101504106494152	0.031184587233377	23.8596	0	20.4903	1	21.4152	1	25.0898	0	25.4832	0	25.0932	0	
	PRRC2C	Protein PRRC2C	7	7	Q9Y520	Q9Y520	7	7	7	316.91	2.6	0.220660453525444	0.038183875031679	22.0704	1	23.8624	0	21.9141	1	24.3269	0	25.4775	0	24.5827	0	
	GTF3C4	General transcription factor 3C polypeptide 4	7	7	Q9UKN8	Q9UKN8	7	7	7	91.981	11.9	0.086774201824954	0.000334148872464	20.8193	1	21.5885	1	21.2199	1	24.5921	0	25.157	0	24.4584	0	
	DNM2	Dynamin-2	7	7	P50570;Q9UQ16	P50570	7;1	7;1	7;1	98.063	11.3	0.146104244920358	0.001227552287696	21.0317	1	22.0986	1	21.4054	1	24.3389	0	24.4884	0	24.0332	0	
	SUGP1	SURP and G-patch domain-containing protein 1	7	7	Q8IWZ8	Q8IWZ8	7	7	7	72.47	17.4	0.198924103187694	0.006031425947212	21.252	1	22.1201	1	22.6306	1	24.6331	0	24.3286	0	24.0302	0	4;13;462
	NOP58	Nucleolar protein 58	7	7	Q9Y2X3	Q9Y2X3	7	7	7	59.578	17.8	0.205228073744028	0.002609035569719	20.9359	1	21.3057	1	22.0249	1	23.7898	0	23.468	0	23.8627	0	
	DLGAP5	Disks large-associated protein 5	7	7	Q15398	Q15398	7	7	7	95.114	12.8	0.247589150273894	0.019058556325714	21.0038	1	22.2843	1	20.5605	1	23.1138	0	23.2656	0	23.5111	0	
	RAB3GAP2	Rab3 GTPase-activating protein non-catalytic subunit	7	7	Q9H2M9	Q9H2M9	7	7	7	155.98	6.2	0.154353489101171	4.08234777987907E-05	21.2599	1	21.2183	1	21.3579	1	23.742	0	23.9823	0	24.1989	0	
	CAPN7	Calpain-7	6	6	Q9Y6W3	Q9Y6W3	6	6	6	92.651	8.1	0.021144554875154	0.022918701063985	21.9789	1	21.144	1	21.2699	1	25.3585	0	25.648	0	30.077	0	
	RCN2	Reticulocalbin-2	6	6	Q14257	Q14257	6	6	6	36.876	26.5	0.086342220146283	6.16410460363061E-05	22.0415	1	21.8021	1	22.0019	1	25.1195	0	25.585	0	25.7423	0	
	CXorf57	Uncharacterized protein CXorf57	6	6	Q6NSI4	Q6NSI4	6	6	6	97.553	9.7	0.128701431023487	0.000271081574843	21.5201	1	21.2025	1	21.9558	1	24.6745	0	24.5762	0	24.3014	0	
	VPS53	Vacuolar protein sorting-associated protein 53 homolog	6	6	Q5VIR6	Q5VIR6	6	6	6	79.652	10.4	0.184799146659501	0.002020179687267	21.7856	1	21.6402	1	21.941	1	23.6468	0	24.787	0	24.2409	0	
	SUPT5H	Transcription elongation factor SPT5	6	6	O00267	O00267	6	6	6	121	6.5	0.159270391645944	0.023767855584848	20.2076	1	21.8976	1	22.7444	1	24.3255	0	24.2201	0	24.2554	0	
	YLPM1	YLP motif-containing protein 1	6	6	P49750	P49750	6	6	6	241.64	3.4	0.113142275754176	0.004165047896535	21.2712	1	22.5116	1	20.964	1	24.2425	0	25.0636	0	24.8721	0	
	ABCF3	ATP-binding cassette sub-family F member 3	6	6	Q9NUQ8	Q9NUQ8	6	6	6	79.744	12	0.217645183700594	0.003248179342232	21.5944	1	21.1137	1	22.2744	1	24.0137	0	23.8759	0	23.6927	0	
	MTR	Methionine synthase	6	6	Q99707	Q99707	6	6	6	140.53	5.2	0.115387592017205	0.000140194184917	21.2373	1	20.9521	1	21.6403	1	24.473	0	24.4878	0	24.2152	0	
	CEP97	Centrosomal protein of 97 kDa	6	6	Q8IW35	Q8IW35	6	6	6	96.98	7.5	0.250890543638318	0.004636817469225	21.4218	1	21.8817	1	22.5685	1	24.1558	0	23.8129	0	23.8879	0	
	STAG2	Cohesin subunit SA-2	6	6	Q8N3U4;Q8WVM7	Q8N3U4	6;1	6;1	6;1	141.32	7	0.155845672490738	0.00014873391169	21.1101	1	21.4762	1	21.6592	1	24.1394	0	24.2481	0	23.9034	0	
	GLE1	Nucleoporin GLE1	6	6	Q53GS7	Q53GS7	6	6	6	79.835	12.5	0.189762917379151	0.005675968806058	20.7082	1	22.0922	1	21.8194	1	23.7309	0	24.186	0	23.8962	0	
	USP13	Ubiquitin carboxyl-terminal hydrolase 13	6	6	Q92995	Q92995	6	6	6	97.326	9.4	0.154698380633764	0.044173315788859	20.9994	1	23.1243	1	20.0145	1	24.3591	0	23.913	0	23.9436	0	
	TTC27	Tetratricopeptide repeat protein 27	6	6	Q6P3X3	Q6P3X3	6	6	6	96.631	8.2	0.253788745843875	0.014211175409275	20.9567	1	20.8133	1	22.2648	1	23.3612	0	23.1054	0	23.503	0	
	DNA2	DNA replication ATP-dependent helicase/nuclease DNA2;DNA replication nuclease DNA2;DNA replication ATP-dependent helicase DNA2	6	6	P51530	P51530	6	6	6	120.41	5.6	0.128378899136799	0.002122853381937	21.5126	1	20.1412	1	21.1381	1	24.0477	0	23.8995	0	23.7293	0	
	STAT5B;STAT5A	Signal transducer and activator of transcription 5B;Signal transducer and activator of transcription 5A	6	6	P51692;P42229	P51692;P42229	6;6	6;6	6;6	89.865	6.4	0.26981266966451	0.025158804477376	20.911	1	20.802	1	22.4676	1	23.1609	0	23.3788	0	23.3109	0	
	BAP1	Ubiquitin carboxyl-terminal hydrolase BAP1	6	6	Q92560	Q92560	6	6	6	80.361	11.1	0.165068872733006	0.000700954777318	20.4356	1	21.3769	1	20.9131	1	23.4282	0	23.5769	0	23.5171	0	
	SMARCC2	SWI/SNF complex subunit SMARCC2	12	6	Q8TAQ2	Q8TAQ2	12	6	6	132.88	10.8	0.125234156216468	0.000678937817539	20.6191	1	21.2226	1	21.4692	1	24.0914	0	24.431	0	23.7804	0	
	KIDINS220	Kinase D-interacting substrate of 220 kDa	6	6	Q9ULH0	Q9ULH0	6	6	6	196.54	4.5	0.294953615757447	0.009646949387186	20.9134	1	20.4997	1	21.7757	1	22.7354	0	22.8866	0	22.8511	0	
	SAP30BP	SAP30-binding protein	5	5	Q9UHR5	Q9UHR5	5	5	5	33.87	16.2	0.103267629514701	0.049474338938199	20.9047	1	24.4283	0	20.9609	1	25.6767	0	25.1775	0	25.2662	0	
	AP1G1	AP-1 complex subunit gamma-1	5	5	O43747	O43747	5	5	5	91.35	7.4	0.148872583957753	0.022538759010002	21.9344	1	23.697	0	21.252	1	25.2356	0	24.6027	0	25.2887	0	
	RPL10A	60S ribosomal protein L10a	5	5	P62906	P62906	5	5	5	24.831	19.8	0.038502875380811	0.000178706356324	21.5132	1	22.3419	1	21.3842	1	26.8055	0	26.2944	0	26.2361	0	
	STX3	Syntaxin-3	5	5	Q13277	Q13277	5	5	5	33.155	15.6	0.096808665401473	0.000405107235446	21.4367	1	22.4875	1	21.9497	1	25.4146	0	25.207	0	25.3585	0	
	RNF25	E3 ubiquitin-protein ligase RNF25	5	5	Q96BH1	Q96BH1	5	5	5	51.218	13.1	0.095252449270743	0.001631811539665	21.8394	1	21.3014	1	21.3323	1	24.0584	0	25.3241	0	25.2669	0	
	TOX4	TOX high mobility group box family member 4	5	5	O94842;O15405;Q96NM4;O94900	O94842	5;2;1;1	5;2;1;1	5;2;1;1	66.194	11.6	0.068386719718117	0.001851484156238	21.0132	1	20.7617	1	22.3648	1	25.0426	0	25.604	0	25.1035	0	
	PSMF1	Proteasome inhibitor PI31 subunit	5	5	Q92530	Q92530	5	5	5	29.816	18.1	0.088732104734832	2.21926927222639E-07	21.5324	1	21.5757	1	21.4718	1	24.952	0	25.083	0	25.028	0	125
	VDAC2	Voltage-dependent anion-selective channel protein 2	5	5	P45880	P45880	5	5	5	31.566	24.5	0.291149087037022	0.019063384171343	22.9991	1	21.5636	1	21.6919	1	23.7715	0	24.0532	0	23.7703	0	
	CTNNAL1	Alpha-catulin	5	5	Q9UBT7	Q9UBT7	5	5	5	81.895	9.9	0.178958875328754	0.00199140686526	21.3035	1	22.4255	1	22.0119	1	24.215	0	24.5954	0	24.3775	0	
